id,error_tag,confidence,check,rationale,proposed_fix,fix_verb,fix_arg,evidence,route,reaction_flag,reaction_note
pchol1829z12z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pme18111z1845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
Asn_X_Ser_FSLASH_Thr_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pme1819z1819z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pchol1801835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
gal1p_L_c,deprecated_metanetx_id,high,metanetx_ids,MNXM1106067 is deprecated in the current MetaNetX release,"replace with MNXM1364212,MNXM1364213,MNXM1364214 (pick by formula/charge match)","","","MNXM1106067 -> MNXM1364212,MNXM1364213,MNXM1364214",annotation,"",""
pme1819z1829z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pme1829z12z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
campstnl_c,deprecated_metanetx_id,high,metanetx_ids,MNXM736368 is deprecated in the current MetaNetX release,"replace with MNXM1371753,MNXM1371754 (pick by formula/charge match)","","","MNXM736368 -> MNXM1371753,MNXM1371754",annotation,"",""
pdme18111z1845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pme18111z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pme1801835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pdme1819z1829z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pme18111z1819z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pme1819z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pme1801819z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pdme1801845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pme18111z1829z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pdme1801835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pchol18111z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
protdt_h,deprecated_metanetx_id,high,metanetx_ids,MNXM1222 is deprecated in the current MetaNetX release,"replace with MNXM727373,MNXM727374,MNXM727375 (pick by formula/charge match)","","","MNXM1222 -> MNXM727373,MNXM727374,MNXM727375,MNXM727376",annotation,"",""
pdme1819z1845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pdme18111z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pme1801829z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pchol1801845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
pme1801845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
menlphnl_c,deprecated_metanetx_id,high,metanetx_ids,MNXM731614 is deprecated in the current MetaNetX release,"replace with MNXM1371336,MNXM1371337 (pick by formula/charge match)","","","MNXM731614 -> MNXM1371336,MNXM1371337",annotation,"",""
pdme18111z1829z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
protds_h,deprecated_metanetx_id,high,metanetx_ids,MNXM1221 is deprecated in the current MetaNetX release,"replace with MNXM727363,MNXM727364,MNXM727365 (pick by formula/charge match)","","","MNXM1221 -> MNXM727363,MNXM727364,MNXM727365,MNXM727366,MNXM727367",annotation,"",""
glc_D_B_h,deprecated_metanetx_id,high,metanetx_ids,MNXM1105026 is deprecated in the current MetaNetX release,"replace with MNXM1364060,MNXM1364061,MNXM1364062 (pick by formula/charge match)","","","MNXM1105026 -> MNXM1364060,MNXM1364061,MNXM1364062",annotation,"",""
5mtr_c,deprecated_metanetx_id,high,metanetx_ids,MNXM1592 is deprecated in the current MetaNetX release,"replace with MNXM729971,MNXM729972 (pick by formula/charge match)","","","MNXM1592 -> MNXM729971,MNXM729972",annotation,"",""
dtct_h,deprecated_metanetx_id,high,metanetx_ids,MNXM48991 is deprecated in the current MetaNetX release,"replace with MNXM1369785,MNXM1369786 (pick by formula/charge match)","","","MNXM48991 -> MNXM1369785,MNXM1369786",annotation,"",""
hmcit_L_m,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
2oglut_m,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
2oglutm_h,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
2oglut_h,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge","","","",annotation,"",""
upp3_h,invalid_inchikey,high,inchikey_validity,"InChIKey ZVMKTYCTECBPLO-UJJXFSCMSA-F is not known to UniChem — no chemistry database has issued this key, so every comparison based on it is void","recompute the key from the structure, or remove it","","",inchikey=ZVMKTYCTECBPLO-UJJXFSCMSA-F,annotation,"",""
4r5au_h,invalid_inchikey,high,inchikey_validity,"InChIKey YQOUVEJNFQOENO-DDVDLICKSA-N is not known to UniChem — no chemistry database has issued this key, so every comparison based on it is void","recompute the key from the structure, or remove it","","",inchikey=YQOUVEJNFQOENO-DDVDLICKSA-N,annotation,"",""
dhpmp_c,invalid_inchikey,high,inchikey_validity,"InChIKey ZKGDYPWMLQRLTN-SRBOSORUSA-L is not known to UniChem — no chemistry database has issued this key, so every comparison based on it is void","recompute the key from the structure, or remove it","","",inchikey=ZKGDYPWMLQRLTN-SRBOSORUSA-L,annotation,"",""
focytc_h,invalid_inchikey,high,inchikey_validity,"InChIKey LNEIIVOIUZFFJS-BYQKXEAKSA-L is not known to UniChem — no chemistry database has issued this key, so every comparison based on it is void","recompute the key from the structure, or remove it","","",inchikey=LNEIIVOIUZFFJS-BYQKXEAKSA-L,annotation,"",""
5aprbu_h,invalid_inchikey,high,inchikey_validity,"InChIKey SLULRZPTCAXXIF-DDVDLICKSA-L is not known to UniChem — no chemistry database has issued this key, so every comparison based on it is void","recompute the key from the structure, or remove it","","",inchikey=SLULRZPTCAXXIF-DDVDLICKSA-L,annotation,"",""
2omhmbl_h,invalid_inchikey,high,inchikey_validity,"InChIKey QURLIMHPCRKMJP-UHFFFAOYSA-N is not known to UniChem — no chemistry database has issued this key, so every comparison based on it is void","recompute the key from the structure, or remove it","","",inchikey=QURLIMHPCRKMJP-UHFFFAOYSA-N,annotation,"",""
focytc_m,invalid_inchikey,high,inchikey_validity,"InChIKey LNEIIVOIUZFFJS-BYQKXEAKSA-L is not known to UniChem — no chemistry database has issued this key, so every comparison based on it is void","recompute the key from the structure, or remove it","","",inchikey=LNEIIVOIUZFFJS-BYQKXEAKSA-L,annotation,"",""
sdhlam_m,invalid_inchikey,high,inchikey_validity,"InChIKey RJCJWONCSKSHES-VIFPVBQESA-M is not known to UniChem — no chemistry database has issued this key, so every comparison based on it is void","recompute the key from the structure, or remove it","","",inchikey=RJCJWONCSKSHES-VIFPVBQESA-M,annotation,"",""
10fthfglu__L_c,invalid_inchikey,high,inchikey_validity,"InChIKey BHBZPCBOCZGPTF-UHFFFAOYSA-L is not known to UniChem — no chemistry database has issued this key, so every comparison based on it is void","recompute the key from the structure, or remove it","","",inchikey=BHBZPCBOCZGPTF-UHFFFAOYSA-L,annotation,"",""
focytc_c,invalid_inchikey,high,inchikey_validity,"InChIKey LNEIIVOIUZFFJS-BYQKXEAKSA-L is not known to UniChem — no chemistry database has issued this key, so every comparison based on it is void","recompute the key from the structure, or remove it","","",inchikey=LNEIIVOIUZFFJS-BYQKXEAKSA-L,annotation,"",""
5apru_h,invalid_inchikey,high,inchikey_validity,"InChIKey HHKDAYBJPZYULV-ABEFGGPWSA-L is not known to UniChem — no chemistry database has issued this key, so every comparison based on it is void","recompute the key from the structure, or remove it","","",inchikey=HHKDAYBJPZYULV-ABEFGGPWSA-L,annotation,"",""
chlaemr_u,invalid_inchikey,high,inchikey_validity,"InChIKey REFBLEJUPUPWLM-ZIKVDTMDSA-N is not known to UniChem — no chemistry database has issued this key, so every comparison based on it is void","recompute the key from the structure, or remove it","","",inchikey=REFBLEJUPUPWLM-ZIKVDTMDSA-N,annotation,"",""
5forthf_c,invalid_inchikey,high,inchikey_validity,"InChIKey YCWUVLPMLLBDCU-YYZPVKLSSA-L is not known to UniChem — no chemistry database has issued this key, so every comparison based on it is void","recompute the key from the structure, or remove it","","",inchikey=YCWUVLPMLLBDCU-YYZPVKLSSA-L,annotation,"",""
dscl_h,invalid_inchikey,high,inchikey_validity,"InChIKey MFZGAVZCDXXITC-MMLYINKNSA-F is not known to UniChem — no chemistry database has issued this key, so every comparison based on it is void","recompute the key from the structure, or remove it","","",inchikey=MFZGAVZCDXXITC-MMLYINKNSA-F,annotation,"",""
10fthfglu__L_m,invalid_inchikey,high,inchikey_validity,"InChIKey BHBZPCBOCZGPTF-UHFFFAOYSA-L is not known to UniChem — no chemistry database has issued this key, so every comparison based on it is void","recompute the key from the structure, or remove it","","",inchikey=BHBZPCBOCZGPTF-UHFFFAOYSA-L,annotation,"",""
2mhop_m,invalid_inchikey,high,inchikey_validity,"InChIKey SSYCSHKTIOHFEZ-UHFFFAOYSA-L is not known to UniChem — no chemistry database has issued this key, so every comparison based on it is void","recompute the key from the structure, or remove it","","",inchikey=SSYCSHKTIOHFEZ-UHFFFAOYSA-L,annotation,"",""
amob_h,invalid_inchikey,high,inchikey_validity,"InChIKey PNFQAIMFHXGARL-UHFFFAOYSA-M is not known to UniChem — no chemistry database has issued this key, so every comparison based on it is void","recompute the key from the structure, or remove it","","",inchikey=PNFQAIMFHXGARL-UHFFFAOYSA-M,annotation,"",""
focytc_x,invalid_inchikey,high,inchikey_validity,"InChIKey LNEIIVOIUZFFJS-BYQKXEAKSA-L is not known to UniChem — no chemistry database has issued this key, so every comparison based on it is void","recompute the key from the structure, or remove it","","",inchikey=LNEIIVOIUZFFJS-BYQKXEAKSA-L,annotation,"",""
pe1819Z1829Z12Z_c,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
sqdg18111Z160_h,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
dgts1839Z12Z15Z1835Z9Z12Z_c,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
sqdg1839Z12Z15Z160_h,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
mppp9me_h,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=3,annotation,"",""
pg18111Z1613E_h,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
dgdg1819Z1634Z7Z10Z_h,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
pe1819Z1829Z12Z_e,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
mgdg1829Z12Z1634Z7Z10Z_h,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
dgts1829Z12Z1835Z9Z12Z_c,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
pg18111Z160_e,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
pgp18111Z160_e,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
sqdg18111Z160_c,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
pe1819Z1845Z9Z12Z15Z_c,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
dgdg1839Z12Z15Z1637Z10Z13Z_h,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
pa1819Z160_h,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=3,annotation,"",""
2m6sbenzq_h,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=2,annotation,"",""
pqh2_u,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=5,annotation,"",""
dgdg1839Z12Z15Z160_h,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
dgdg1829Z12Z1634Z7Z10Z_h,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
tag1819Z18111Z1845Z9Z12Z15Z_c,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
pe1819Z1845Z9Z12Z15Z_e,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
tag18111Z1819Z1835Z9Z12Z_c,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
dgts1829Z12Z1829Z12Z_c,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
pe1801835Z9Z12Z_c,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
pg18111Z160_c,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
tag18111Z1819Z1845Z9Z12Z15Z_c,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
mgdg1829Z12Z1619Z_h,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
pg1829Z12Z1613E_h,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
dgdg1819Z1637Z10Z13Z_h,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
1agpe1829Z12Z_c,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
glc_D_B_c,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
mgdg1819Z160_h,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=3,annotation,"",""
dvpchlda_h,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=3,annotation,"",""
asqdca1819Z160_c,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
asqdca1839Z12Z15Z160_c,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
pa18111Z1819Z_h,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
pa1801819Z_h,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=2,annotation,"",""
cdp12dgr18111Z160_c,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
1agpe18111Z_c,uncurated_metabolite,medium,fantasy,"no cross-reference to any structural database (ChEBI, KEGG, MetaCyc, HMDB, LipidMaps), no InChIKey and no SMILES — it is annotated only in namespaces a reconstruction pipeline mints for itself","assign a structural identifier, or delete the species if it cannot be substantiated","","",in_bigg=True n_models=1,annotation,"",""
