id,error_tag,confidence,check,rationale,proposed_fix,evidence
pdme18111z1845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pme18111z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pme1801835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pdme1819z1829z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pme18111z1819z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pme1819z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pme1801819z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pdme1801845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pme18111z1829z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pdme1801835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pchol18111z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
protdt_h,deprecated_metanetx_id,high,metanetx_ids,MNXM1222 is deprecated in the current MetaNetX release,"replace with MNXM727373,MNXM727374,MNXM727375 (pick by formula/charge match)","MNXM1222 -> MNXM727373,MNXM727374,MNXM727375,MNXM727376"
pdme1819z1845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pdme18111z1835z9z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pme1801829z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pchol1801845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
pme1801845z9z12z15z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
menlphnl_c,deprecated_metanetx_id,high,metanetx_ids,MNXM731614 is deprecated in the current MetaNetX release,"replace with MNXM1371336,MNXM1371337 (pick by formula/charge match)","MNXM731614 -> MNXM1371336,MNXM1371337"
pdme18111z1829z12z_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
protds_h,deprecated_metanetx_id,high,metanetx_ids,MNXM1221 is deprecated in the current MetaNetX release,"replace with MNXM727363,MNXM727364,MNXM727365 (pick by formula/charge match)","MNXM1221 -> MNXM727363,MNXM727364,MNXM727365,MNXM727366,MNXM727367"
glc_D_B_h,deprecated_metanetx_id,high,metanetx_ids,MNXM1105026 is deprecated in the current MetaNetX release,"replace with MNXM1364060,MNXM1364061,MNXM1364062 (pick by formula/charge match)","MNXM1105026 -> MNXM1364060,MNXM1364061,MNXM1364062"
5mtr_c,deprecated_metanetx_id,high,metanetx_ids,MNXM1592 is deprecated in the current MetaNetX release,"replace with MNXM729971,MNXM729972 (pick by formula/charge match)","MNXM1592 -> MNXM729971,MNXM729972"
dtct_h,deprecated_metanetx_id,high,metanetx_ids,MNXM48991 is deprecated in the current MetaNetX release,"replace with MNXM1369785,MNXM1369786 (pick by formula/charge match)","MNXM48991 -> MNXM1369785,MNXM1369786"
hmcit_L_m,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
2oglut_m,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
2oglutm_h,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
2oglut_h,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",""
hso3_h,bigg_id_deprecated,high,bigg_namespace,hso3 is an old BiGG id,rename to so3,""
pchol1801819z_c,bigg_id_not_in_namespace,low,bigg_namespace,pchol1801819z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pdme1801829z12z_c,bigg_id_not_in_namespace,low,bigg_namespace,pdme1801829z12z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pchol1819z1819z_c,bigg_id_not_in_namespace,low,bigg_namespace,pchol1819z1819z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pchol1801829z12z_c,bigg_id_not_in_namespace,low,bigg_namespace,pchol1801829z12z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pchol1819z1845z9z12z15z_c,bigg_id_not_in_namespace,low,bigg_namespace,pchol1819z1845z9z12z15z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
12dgr18111z18111z_h,bigg_id_not_in_namespace,low,bigg_namespace,12dgr18111z18111z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pdme1819z1835z9z12z_c,bigg_id_not_in_namespace,low,bigg_namespace,pdme1819z1835z9z12z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
ggmb_h,bigg_id_not_in_namespace,low,bigg_namespace,ggmb is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
hcaco_m,bigg_id_not_in_namespace,low,bigg_namespace,hcaco is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pdme1829z12z1835z9z12z_c,bigg_id_not_in_namespace,low,bigg_namespace,pdme1829z12z1835z9z12z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pdme1801819z_c,bigg_id_not_in_namespace,low,bigg_namespace,pdme1801819z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
accitl_c,bigg_id_not_in_namespace,low,bigg_namespace,accitl is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
epistrl_c,bigg_id_not_in_namespace,low,bigg_namespace,epistrl is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
lipacp_h,bigg_id_not_in_namespace,low,bigg_namespace,lipacp is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
2oxad_m,bigg_id_not_in_namespace,low,bigg_namespace,2oxad is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pme1819z1845z9z12z15z_c,bigg_id_not_in_namespace,low,bigg_namespace,pme1819z1845z9z12z15z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pn6ll_h,bigg_id_not_in_namespace,low,bigg_namespace,pn6ll is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pdme1819z1819z_c,bigg_id_not_in_namespace,low,bigg_namespace,pdme1819z1819z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pdme18111z1819z_c,bigg_id_not_in_namespace,low,bigg_namespace,pdme18111z1819z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
adpemtc_h,bigg_id_not_in_namespace,low,bigg_namespace,adpemtc is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
apop_h,bigg_id_not_in_namespace,low,bigg_namespace,apop is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
opda12_c,bigg_id_not_in_namespace,low,bigg_namespace,opda12 is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
2am6sa_c,bigg_id_not_in_namespace,low,bigg_namespace,2am6sa is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
opc8coa_c,bigg_id_not_in_namespace,low,bigg_namespace,opc8coa is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pchol18111z1845z9z12z15z_c,bigg_id_not_in_namespace,low,bigg_namespace,pchol18111z1845z9z12z15z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
hpot13_c,bigg_id_not_in_namespace,low,bigg_namespace,hpot13 is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
hso3_m,bigg_id_deprecated,high,bigg_namespace,hso3 is an old BiGG id,rename to so3,""
pchol1829z12z1835z9z12z_c,bigg_id_not_in_namespace,low,bigg_namespace,pchol1829z12z1835z9z12z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
camp6o_c,bigg_id_not_in_namespace,low,bigg_namespace,camp6o is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pn6ol_h,bigg_id_not_in_namespace,low,bigg_namespace,pn6ol is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pme18111z1845z9z12z15z_c,bigg_id_not_in_namespace,low,bigg_namespace,pme18111z1845z9z12z15z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
camp43n_c,bigg_id_not_in_namespace,low,bigg_namespace,camp43n is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
Asn_X_Ser_FSLASH_Thr_c,bigg_id_not_in_namespace,low,bigg_namespace,Asn_X_Ser_FSLASH_Thr is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pchol18111z1819z_c,bigg_id_not_in_namespace,low,bigg_namespace,pchol18111z1819z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pme1819z1819z_c,bigg_id_not_in_namespace,low,bigg_namespace,pme1819z1819z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pchol1801835z9z12z_c,bigg_id_not_in_namespace,low,bigg_namespace,pchol1801835z9z12z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
apoc_h,bigg_id_not_in_namespace,low,bigg_namespace,apoc is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
gal1p_L_c,bigg_id_not_in_namespace,low,bigg_namespace,gal1p_L is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pme1819z1829z12z_c,bigg_id_not_in_namespace,low,bigg_namespace,pme1819z1829z12z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pme1829z12z1835z9z12z_c,bigg_id_not_in_namespace,low,bigg_namespace,pme1829z12z1835z9z12z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
sacchar_c,bigg_id_not_in_namespace,low,bigg_namespace,sacchar is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
hisocit_m,bigg_id_not_in_namespace,low,bigg_namespace,hisocit is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
campstnl_c,bigg_id_not_in_namespace,low,bigg_namespace,campstnl is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pdme18111z1845z9z12z15z_c,bigg_id_not_in_namespace,low,bigg_namespace,pdme18111z1845z9z12z15z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pme18111z1835z9z12z_c,bigg_id_not_in_namespace,low,bigg_namespace,pme18111z1835z9z12z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
hso3_c,bigg_id_deprecated,high,bigg_namespace,hso3 is an old BiGG id,rename to so3,""
pme1801835z9z12z_c,bigg_id_not_in_namespace,low,bigg_namespace,pme1801835z9z12z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pdme1819z1829z12z_c,bigg_id_not_in_namespace,low,bigg_namespace,pdme1819z1829z12z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pme18111z1819z_c,bigg_id_not_in_namespace,low,bigg_namespace,pme18111z1819z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pme1819z1835z9z12z_c,bigg_id_not_in_namespace,low,bigg_namespace,pme1819z1835z9z12z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
opc8_c,bigg_id_not_in_namespace,low,bigg_namespace,opc8 is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
hso3_e,bigg_id_deprecated,high,bigg_namespace,hso3 is an old BiGG id,rename to so3,""
pme1801819z_c,bigg_id_not_in_namespace,low,bigg_namespace,pme1801819z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
camp5a3n_c,bigg_id_not_in_namespace,low,bigg_namespace,camp5a3n is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pdme1801845z9z12z15z_c,bigg_id_not_in_namespace,low,bigg_namespace,pdme1801845z9z12z15z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pme18111z1829z12z_c,bigg_id_not_in_namespace,low,bigg_namespace,pme18111z1829z12z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pdme1801835z9z12z_c,bigg_id_not_in_namespace,low,bigg_namespace,pdme1801835z9z12z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pchol18111z1835z9z12z_c,bigg_id_not_in_namespace,low,bigg_namespace,pchol18111z1835z9z12z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
jasa_c,bigg_id_not_in_namespace,low,bigg_namespace,jasa is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pdme1819z1845z9z12z15z_c,bigg_id_not_in_namespace,low,bigg_namespace,pdme1819z1845z9z12z15z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pdme18111z1835z9z12z_c,bigg_id_not_in_namespace,low,bigg_namespace,pdme18111z1835z9z12z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pchol1819z1829z12z_c,bigg_id_not_in_namespace,low,bigg_namespace,pchol1819z1829z12z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pme1801829z12z_c,bigg_id_not_in_namespace,low,bigg_namespace,pme1801829z12z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pchol1801845z9z12z15z_c,bigg_id_not_in_namespace,low,bigg_namespace,pchol1801845z9z12z15z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pa18111z18111z_h,bigg_id_not_in_namespace,low,bigg_namespace,pa18111z18111z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
campstrl_c,bigg_id_not_in_namespace,low,bigg_namespace,campstrl is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
ijasa7coa_c,bigg_id_not_in_namespace,low,bigg_namespace,ijasa7coa is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pchol18111z1829z12z_c,bigg_id_not_in_namespace,low,bigg_namespace,pchol18111z1829z12z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
camp43bl_c,bigg_id_not_in_namespace,low,bigg_namespace,camp43bl is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pme1801845z9z12z15z_c,bigg_id_not_in_namespace,low,bigg_namespace,pme1801845z9z12z15z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
menlphnl_c,bigg_id_not_in_namespace,low,bigg_namespace,menlphnl is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
3ophmb_h,bigg_id_not_in_namespace,low,bigg_namespace,3ophmb is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
ijasa7_c,bigg_id_not_in_namespace,low,bigg_namespace,ijasa7 is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
eotre1213_c,bigg_id_not_in_namespace,low,bigg_namespace,eotre1213 is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
camp6ah_c,bigg_id_not_in_namespace,low,bigg_namespace,camp6ah is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
3opdhb_h,bigg_id_not_in_namespace,low,bigg_namespace,3opdhb is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
pdme18111z1829z12z_c,bigg_id_not_in_namespace,low,bigg_namespace,pdme18111z1829z12z is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
hmppp9me_h,bigg_id_not_in_namespace,low,bigg_namespace,hmppp9me is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
ggdmb_h,bigg_id_not_in_namespace,low,bigg_namespace,ggdmb is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
ytct_h,bigg_id_not_in_namespace,low,bigg_namespace,ytct is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
plaq9_h,bigg_id_not_in_namespace,low,bigg_namespace,plaq9 is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
opc6coa_c,bigg_id_not_in_namespace,low,bigg_namespace,opc6coa is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
opc6coat2e_c,bigg_id_not_in_namespace,low,bigg_namespace,opc6coat2e is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
opc4coa_c,bigg_id_not_in_namespace,low,bigg_namespace,opc4coa is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
opc4coat2e_c,bigg_id_not_in_namespace,low,bigg_namespace,opc4coat2e is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
3kpacpme_h,bigg_id_not_in_namespace,low,bigg_namespace,3kpacpme is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
malacpme_h,bigg_id_not_in_namespace,low,bigg_namespace,malacpme is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
menchstrl_c,bigg_id_not_in_namespace,low,bigg_namespace,menchstrl is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
opc4coa3o_c,bigg_id_not_in_namespace,low,bigg_namespace,opc4coa3o is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
2chchc_h,bigg_id_not_in_namespace,low,bigg_namespace,2chchc is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
4pcys_c,bigg_id_deprecated,high,bigg_namespace,4pcys is an old BiGG id,rename to ptcys,""
opc6coa3o_c,bigg_id_not_in_namespace,low,bigg_namespace,opc6coa3o is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
opc8coa3h_c,bigg_id_not_in_namespace,low,bigg_namespace,opc8coa3h is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
opc8coa3o_c,bigg_id_not_in_namespace,low,bigg_namespace,opc8coa3o is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
opc4coa3h_c,bigg_id_not_in_namespace,low,bigg_namespace,opc4coa3h is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
3kgacpme_h,bigg_id_not_in_namespace,low,bigg_namespace,3kgacpme is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
cathstrn_c,bigg_id_not_in_namespace,low,bigg_namespace,cathstrn is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
opc6coa3h_c,bigg_id_not_in_namespace,low,bigg_namespace,opc6coa3h is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
dtct_h,bigg_id_not_in_namespace,low,bigg_namespace,dtct is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
btct_h,bigg_id_not_in_namespace,low,bigg_namespace,btct is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
teastrn_c,bigg_id_not_in_namespace,low,bigg_namespace,teastrn is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
teastrn3dh_c,bigg_id_not_in_namespace,low,bigg_namespace,teastrn3dh is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
opc8coat2e_c,bigg_id_not_in_namespace,low,bigg_namespace,opc8coat2e is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
2oxad_c,bigg_id_not_in_namespace,low,bigg_namespace,2oxad is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
cis9neoxan_u,bigg_id_not_in_namespace,low,bigg_namespace,cis9neoxan is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
xanxn_u,bigg_id_not_in_namespace,low,bigg_namespace,xanxn is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
c25aaald_u,bigg_id_not_in_namespace,low,bigg_namespace,c25aaald is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
xanxn_c,bigg_id_not_in_namespace,low,bigg_namespace,xanxn is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
absald_c,bigg_id_not_in_namespace,low,bigg_namespace,absald is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
abscis_c,bigg_id_not_in_namespace,low,bigg_namespace,abscis is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
adglcur_c,bigg_id_not_in_namespace,low,bigg_namespace,adglcur is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
hmcit_L_m,bigg_id_not_in_namespace,low,bigg_namespace,hmcit_L is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
2oglut_m,bigg_id_not_in_namespace,low,bigg_namespace,2oglut is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
2oglutm_h,bigg_id_not_in_namespace,low,bigg_namespace,2oglutm is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
2oglut_h,bigg_id_not_in_namespace,low,bigg_namespace,2oglut is not in the BiGG universal namespace (legitimate for organism-specific species),confirm the id is intentional and documented,""
2omph_h,inchikey_skeleton_conflict_bigg,medium,bigg_structure_conflict,model InChIKey skeleton MARGKPIMNMASKJ != BiGG MYNOBJRQIKYBRD for id 2omph,decide whether the BiGG id or the structure is authoritative,MARGKPIMNMASKJ-CMAXTTDKSA-N vs MYNOBJRQIKYBRD-MGHGRUFNSA-N
seln_h,inchikey_skeleton_conflict_bigg,low,bigg_structure_conflict,model InChIKey skeleton HMUBNCUQSSTAIB != BiGG SPVXKVOXSXTJOY for id seln (names agree — likely a tautomer/anomer choice),decide whether the BiGG id or the structure is authoritative,HMUBNCUQSSTAIB-UHFFFAOYSA-N vs SPVXKVOXSXTJOY-UHFFFAOYSA-M
