reaction,name,imbalance,classes,has_placeholder,localised_metabolites
GMPtm,"GMP transport, mitochondria","{'H': 1.0, 'charge': 1.0}","H,charge",false,""
ARGT,arginine---tRNA ligase,"{'C': -18.0, 'H': -22.0, 'N': -6.0, 'O': -18.0, 'charge': 3.0, 'P': -3.0}","C,H,N,O,P,charge",true,""
ARGSS,argininosuccinate synthase,"{'H': 2.0, 'charge': 2.0}","H,charge",false,""
OCT,ornithine carbamoyltransferase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
OCTh,"ornithine carbamoyltransferase, chloroplast","{'H': -1.0, 'charge': -1.0}","H,charge",false,""
OCTm,"ornithine carbamoyltransferase, mitochondrial","{'H': -1.0, 'charge': -1.0}","H,charge",false,""
PPCOAOm,"Propanoyl-CoA:(acceptor) 2,3-oxidoreductase","{'H': -2.0, 'charge': -2.0}","H,charge",false,""
CMS,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
CYEUOLS,cycloeucalenol synthase,{'charge': -2.0},charge,false,""
DDSMSTOLD,7-dehydrodesmosterol desaturase,"{'H': -2.0, 'charge': -2.0}","H,charge",false,""
DSMSTOLD,desmosterol desaturase,"{'H': 2.0, 'charge': 2.0}","H,charge",false,""
FPPSh,"farnesyl pyrophosphate synthase, chloroplast","{'H': 1.0, 'charge': 1.0}","H,charge",false,""
GGPS,geranylgeranyl diphosphate synthase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
GPPSh,"geranyl pyrophosphate synthase, chloroplast","{'H': 1.0, 'charge': 1.0}","H,charge",false,""
HPT,homogentisate phytyltransferase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
VITD3S,"vitamin D3 synthesis (non-enzymatic, UV-light requiring)",{'Z': -1.0},Z,true,""
PSY,phytoene synthase,"{'H': 2.0, 'charge': 2.0}","H,charge",false,""
ETF,electron transfer flavoprotein,"{'charge': 2.0, 'H': 2.0}","H,charge",true,""
3SPYRSPh,"3-sulfinopyruvate hydrolase (spontaneous), chloroplast","{'H': -1.0, 'charge': -1.0}","H,charge",false,""
3SPYRSPm,"3-sulfinopyruvate hydrolase (spontaneous), mitochondria","{'H': -1.0, 'charge': -1.0}","H,charge",false,hso3_m
CYSTL,cysteine---tRNA ligase,"{'C': -18.0, 'H': -23.0, 'N': -6.0, 'O': -18.0, 'P': -3.0, 'charge': 2.0}","C,H,N,O,P,charge",true,""
CITALALDOR,citalopram aldehyde:oxygen oxidoreductase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
CITALOR,citalopram:oxygen oxidoreductase (deaminating),"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
DDMCITALOR,didemethylcitalopram:oxygen oxidoreductase (deaminating),"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
LIDOAMH,lidocaine amidohydrolase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,26dmani_e
MEGLYXYLAMH,monoethylglycinexylidide amidohydrolase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,26dmani_e
BTNC,biotin carboxylase,"{'H': -1.0, 'charge': -1.0}","H,charge",true,""
AKP1,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate phosphohydrolase (alkaline optimum)","{'H': -1.0, 'charge': -1.0}","H,charge",false,ahdt_c
GTHAMPORm,"AMP,sulfite:glutathione-disulfide oxidoreductase (adenosine-5'-phosphosulfate-forming), mitochondria","{'H': 1.0, 'charge': 1.0}","H,charge",false,hso3_m
AGPAT1601819Zh,1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase ((9Z)-C18:1) (ACP substrate),"{'H': 3.0, 'charge': 2.0, 'R': -1.0, '*': 1.0}","*,H,R,charge",true,pa1601819Z_h
AGPAT160h,1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0) (ACP substrate),{'H': 3.0},H,true,""
AGPAT1801819Zh,1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase ((9Z)-C18:1) (ACP substrate),"{'H': 3.0, 'charge': 2.0, 'R': -1.0, '*': 1.0}","*,H,R,charge",true,pa1801819Z_h
AGPAT18111Z160h,1-octadec-11-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0) (ACP substrate),"{'H': 3.0, 'charge': 2.0}","H,charge",true,""
AGPAT18111Z1819Zh,1-octadec-11-enoyl-sn-glycerol 3-phosphate O-acyltransferase ((9Z)-C18:1) (ACP substrate),"{'H': 3.0, 'charge': 2.0, 'R': -1.0, '*': 1.0}","*,H,R,charge",true,pa18111Z1819Z_h
AGPAT1819Z160h,1-octadec-9-enoyl-sn-glycerol 3-phosphateO-acyltransferase (n-C16:0) (ACP substrate),{'H': 3.0},H,true,""
AGPAT1819Z1619Zh,1-octadec-9-enoyl-sn-glycerol 3-phosphateO-acyltransferase ((9Z)-C16:1) (ACP substrate),"{'C': -11.0, 'H': -17.0, 'O': -7.0, 'P': -1.0, 'charge': 1.0, 'N': -2.0}","C,H,N,O,P,charge",true,pa1819Z1619Z_h
AGPAT1819Z18111Zh,1-octadec-9-enoyl-sn-glycerol 3-phosphateO-acyltransferase ((11Z)-C18:1) (ACP substrate),"{'C': -11.0, 'H': -17.0, 'O': -7.0, 'P': -1.0, 'charge': 1.0, 'N': -2.0}","C,H,N,O,P,charge",true,pa1819Z18111Z_h
AGPAT1819Z1819Zh,1-octadec-9-enoyl-sn-glycerol 3-phosphateO-acyltransferase ((9Z)-C18:1) (ACP substrate),"{'H': 3.0, 'R': -1.0, '*': 1.0}","*,H,R",true,pa1819Z1819Z_h
G3PAT160h,glycerol-3-phosphate acyltransferase (C16:0),{'H': 3.0},H,true,""
G3PAT180h,glycerol-3-phosphate acyltransferase (C18:0),"{'C': -11.0, 'H': -17.0, 'O': -7.0, 'P': -1.0, 'charge': 1.0, 'N': -2.0}","C,H,N,O,P,charge",true,""
G3PAT1819Zh,glycerol-3-phosphate acyltransferase ((9Z)-C18:1),"{'H': 3.0, 'charge': 2.0, 'R': -1.0, '*': 1.0}","*,H,R,charge",true,""
G3PAT181h,glycerol-3-phosphate acyltransferase ((11Z)-C18:1),"{'C': -11.0, 'H': -17.0, 'O': -7.0, 'P': -1.0, 'charge': 1.0, 'N': -2.0}","C,H,N,O,P,charge",true,""
SQDGATCA18111Z160,"sulfolipid 2'-O-acyltransferase (2'-18:3(5,9,12,15)/18:1(11Z)/16:0)",{'charge': -4.0},charge,false,cacoa_c
SQDGATCA1819Z160,"sulfolipid 2'-O-acyltransferase (2'-18:4(5,9,12,15)/18:1(9Z)/16:0)",{'charge': -4.0},charge,false,cacoa_c
SQDGATPA18111Z160,"sulfolipid 2'-O-acyltransferase (2'-18:3(5,9,12)/18:1(11Z)/16:0)",{'charge': -4.0},charge,false,""
SQDGATPA1819Z160,"sulfolipid 2'-O-acyltransferase (2'-18:3(5,9,12)/18:1(9Z)/16:0)",{'charge': -4.0},charge,false,""
PGD3TDS1829Z12Z1613E,"phosphatidylglycerol palmitate-delta3t-desaturase (18:2(9Z,12Z)/16:1(3E))",{'charge': -2.0},charge,true,""
PGD3TDS1839Z12Z15Z1613E,"phosphatidylglycerol palmitate-delta3t-desaturase (18:3(9Z,12Z,15Z)/16:1(3E))",{'charge': -4.0},charge,true,""
HDC,histidine decarboxylase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,hista_c
PRADPh,"phosphoribosyl-ATP diphosphatase, chloroplast","{'H': 3.0, 'charge': 3.0}","H,charge",false,""
AMITKP,"ATP:1D-myo-Inositol 1,4,5,6-tetrakisphosphate phosphotransferase","{'H': -2.0, 'charge': -2.0}","H,charge",false,mi13456p_c
ITKK,inositol-tetrakisphosphate 5-kinase,"{'H': -2.0, 'charge': -2.0}","H,charge",false,mi13456p_c
COORr,carbon-monoxide:acceptor oxidoreductase,"{'charge': -2.0, 'H': -2.0}","H,charge",false,""
ACRS,acireductone synthase,"{'H': 3.0, 'charge': 3.0}","H,charge",false,""
ACRSP,"acireductone synthase, phosphate forming","{'H': -2.0, 'charge': -2.0}","H,charge",false,""
DNGALh,"deamido-NAD+:L-glutamine amido-ligase (AMP-forming), chloroplast","{'H': 1.0, 'charge': 1.0}","H,charge",false,""
NAPT,nicotinamide phosphoribosyltransferase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
OGMG,4-oxoglutaramate generation (non-enzymatic),"{'H': -1.0, 'charge': -3.0}","H,charge",false,""
URCN,urocanase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
CYOO6m,cytochrome c oxidase Complex IV,"{'C': 36.0, 'H': 80.0, 'N': 16.0, 'O': 8.0, 'charge': -8.0, 'S': 8.0}","C,H,N,O,S,charge",false,"ficytc_m,focytc_m"
PHETL,phenylalanine---tRNA ligase,"{'C': -18.0, 'H': -22.0, 'N': -6.0, 'O': -18.0, 'P': -3.0, 'charge': 3.0}","C,H,N,O,P,charge",true,""
CEF,Cyclic Electron Flow,{'charge': 1.0},charge,true,""
PSIblue,photosystem I (blue light-activated),"{'charge': -1.0, 'Z': -2.0}","Z,charge",true,""
PSIIblue,photosystem II (blue light-activated),{'Z': -4.0},Z,true,""
PSIred,photosystem I (red light-activated),"{'charge': -1.0, 'Z': -2.0}","Z,charge",true,""
PSIIred,photosystem II (red light-activated),{'Z': -4.0},Z,true,""
GLUTRR,glutamyl-tRNA reductase,"{'C': 18.0, 'H': 22.0, 'N': 6.0, 'O': 18.0, 'charge': -3.0, 'P': 3.0}","C,H,N,O,P,charge",true,""
PHPHBDDMC,pheophorbide demethoxycarbonylase,{'charge': -2.0},charge,false,""
OCDOR,3-oxopropionyl-CoA:NAD+ oxidoreductase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,malcoa_c
ADSL1r,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming)","{'H': -4.0, 'charge': -4.0}","H,charge",false,dcamp_c
AGPOPm,"dGTP:pyruvate 2-O-phosphotransferase, mitochondria","{'H': -1.0, 'charge': -1.0}","H,charge",false,"dgdp_m,dgtp_m"
ATAH,allantoate amidinohydrolase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
ATS,allantoin synthetase,"{'H': 2.0, 'charge': 2.0}","H,charge",false,""
GMP5N,GMP-5'-nucleotidase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
GTPOPm,"GTP:pyruvate 2-O-phosphotransferase, mitochondria","{'H': -1.0, 'charge': -1.0}","H,charge",false,""
PRAIC,"phosphoribosylaminoimidazole carboxylase, cytosol","{'H': 1.0, 'charge': 1.0}","H,charge",false,"5aizc_c,air_c"
ACHMSSELCYSL,"O-Acetylhomoserine succinate-lyase (adding cysteine), cytosol","{'H': -1.0, 'charge': -1.0}","H,charge",false,selcyst_c
ACSERLh,"O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide), chloroplast","{'H': 3.0, 'charge': 3.0}","H,charge",false,""
ACSERLm,"O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide), mitochondria","{'H': 3.0, 'charge': 3.0}","H,charge",false,""
PHOMSELCYSL,"O-Phosphorylhomoserine succinate-lyase (adding cysteine), cytosol","{'H': -1.0, 'charge': -1.0}","H,charge",false,selcyst_c
SUCHMSSELCYSL,"O-Succinyl-L-homoserine succinate-lyase (adding cysteine), cytosol","{'H': -1.0, 'charge': -1.0}","H,charge",false,selcyst_c
TSULe,"Thiosulfate formation, spontaneous","{'charge': 2.0, 'H': 2.0}","H,charge",false,""
SUCLm,succinyl-CoA ligase (ADP-forming),"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
34HPPYRI,3-(4-Hydroxyphenyl)pyruvate keto-enol-isomerase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
ccoaaCv,succinyl-CoA:acetoacetate CoA-transferase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
acaCv,N-acetyl-L-citrulline amidohydrolase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
argCv,L-Arginine amidinohydrolase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
uahCv,Urea amidohydrolase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
dagk18111z160Cv,diacylglycerol kinase (18:1(11z)/16:0),{'charge': 2.0},charge,false,"12dgr18111Z160_c,pa18111Z160_c"
dagk1819z160Cv,diacylglycerol kinase (18:1(9z)/16:0),{'charge': 2.0},charge,false,12dgr1819Z160_c
dagk1819z1619zCv,diacylglycerol kinase (18:1(9z)/16:1(9z)),{'charge': 2.0},charge,false,"12dgr1819Z1619Z_c,pa1819Z1619Z_c"
dagk181hCv,"diacylglycerol kinase (18:1(11z)/18:1(11z)), chloroplast",{'charge': 2.0},charge,false,"12dgr18111z18111z_h,pa18111z18111z_h"
TTSh,thiamine thiazole synthase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
CMTEPSh,2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate synthase,"{'H': 1.0, 'charge': 3.0}","H,charge",false,""
PACPHh,pimeloyl-[acyl-carrier protein]-methyl-ester hydrolase,"{'R': -1.0, '*': 1.0}","*,R",true,""
BACCLh,biotin-[acetyl-CoA-carboxylase] ligase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
BTNPLh,holocarboxylase synthestase (biotin protein ligase),"{'C': 6.0, 'H': 13.0, 'N': 2.0, 'O': 1.0, 'charge': 1.0}","C,H,N,O,charge",true,""
LIPOTh,lipoyl(octanoyl) transferase (protein N6-octanoyltransferase),"{'H': 3.0, 'R': -2.0, '*': 2.0}","*,H,R",true,""
LIPOT2,lipoyl(octanoyl) transferase (protein N6-lipoyltransferase),"{'C': -11.0, 'H': -17.0, 'N': -2.0, 'O': -7.0, 'P': -1.0, '*': 1.0, 'charge': 1.0, 'R': -1.0}","*,C,H,N,O,P,R,charge",true,""
HST_h,homogentisate solanesyltransferase,"{'H': 1.0, 'charge': -2.0}","H,charge",false,""
HGGTh,homogentisate geranylgeranyltransferase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
RHODOPSINI,"rhodopsin photoisomerase (spontaneous, light-requiring)","{'C': -6.0, 'H': -10.0, 'N': -2.0, 'O': -2.0, '*': -1.0, 'Z': -1.6}","*,C,H,N,O,Z",true,""
HPOTHL,"(9Z,11E,15Z)-(13S)-hydroperoxyoctadeca-9,11,15-trienoate 12,13-hydro-lyase",{'charge': -1.0},charge,false,""
IJASA7S,(+)-7-isojasmonic acid synthesis,"{'H': -5.0, 'charge': -5.0}","H,charge",false,""
ACOADAGAT18111Z1819Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",{'charge': -4.0},charge,false,cacoa_c
HEMELh,heme c ligase (chloroplast),"{'*': -4.0, 'R': 4.0}","*,R",true,""
PCHLD450OR,"protochlorophyllide oxidoreductase (light-dependent, 450 nm)",{'Z': -1.0},Z,true,""
papa1819z1619zCv,phosphatidate phosphatase (18:1(9z)/16:1(9z)),{'charge': -2.0},charge,false,"12dgr1819Z1619Z_c,pa1819Z1619Z_c"
GLYTL,glycine---tRNA ligase,"{'C': -18.0, 'H': -23.0, 'N': -6.0, 'O': -18.0, 'P': -3.0, 'charge': 2.0}","C,H,N,O,P,charge",true,""
PAPA1601819Zh,"phosphatidate phosphatase (16:0/18:1(9Z)), chloroplast",{'charge': -2.0},charge,false,"12dgr1601819Z_h,pa1601819Z_h"
PLDAGAT1819Z1819Z1819Z2,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),{'charge': -2.0},charge,false,pa1801819Z_c
PAPA181,phosphatidate phosphatase (18:1(11Z)/18:1(11Z)),{'charge': -2.0},charge,false,pa18111Z18111Z_c
1AGPEAT1801835Z9Z12Z,"1-acylglycerophosphoethanolamine O-acyltransferase (18:0/18:3(5Z,12Z,15Z))",{'charge': -4.0},charge,false,""
PLDAGAT16018111Z1819Z2,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),{'charge': -2.0},charge,false,pa1801819Z_c
SERTL,serine---tRNA ligase,"{'C': -18.0, 'H': -23.0, 'N': -6.0, 'O': -18.0, 'P': -3.0, 'charge': 2.0}","C,H,N,O,P,charge",true,""
6TINS5MPOR,6-thioinosine 5'-monophosphate:NAD oxidoreductase,"{'H': 2.0, 'charge': 2.0}","H,charge",false,""
3OAS180,3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0),"{'C': -3.0, 'N': -1.0, 'O': -1.0, '*': -1.0, 'charge': 1.0}","*,C,N,O,charge",true,""
CITALMO,citalopram monooxygenase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
CYSS_trdrd,"cysteine synthase, thioredoxin","{'H': -1.0, 'charge': -1.0}","H,charge",true,""
PLDAGAT18111Z1819Z1819Z1,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),{'charge': -2.0},charge,false,pa1601819Z_c
CHLASG,chlorophyll a synthase (geranylgeranyl),"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
PLDAGAT1819Z1819Z1819Z3,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),{'charge': -2.0},charge,false,pa18111Z1819Z_c
DAGK18111Z1819Zh,"diacylglycerol kinase (18:1(11Z)/18:1(9Z)), chloroplast",{'charge': 2.0},charge,false,"12dgr18111Z1819Z_h,pa18111Z1819Z_h"
ALATL,alanine---tRNA ligase,"{'C': -18.0, 'H': -20.0, 'N': -6.0, 'O': -18.0, 'charge': 5.0, 'P': -3.0}","C,H,N,O,P,charge",true,""
FA100ACPHi,fatty-acyl-ACP hydrolase (n-C10:0),"{'H': 3.0, 'R': -1.0, '*': 1.0}","*,H,R",true,""
PLPSA21801835Z9Z12Z,"phospholipase A2 (18:0/18:3(5Z,12Z,15Z))",{'charge': 1.0},charge,false,""
DHNAOT4h,"1,4-dihydroxy-2-naphthoate octaprenyltransferase","{'H': 1.0, 'charge': 1.0}","H,charge",false,""
PROTL,proline---tRNA ligase,"{'C': -18.0, 'H': -22.0, 'N': -6.0, 'O': -18.0, 'P': -3.0, 'charge': 3.0}","C,H,N,O,P,charge",true,""
ACOADAGAT1601819Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",{'charge': -4.0},charge,false,cacoa_c
AACPS1,long-chain-fatty-acid-[acyl-carrier-protein] ligase (14:0),"{'H': -2.0, 'charge': 1.0}","H,charge",true,""
SULOm,"sulfite oxidase, mitochondria","{'H': 1.0, 'charge': 1.0}","H,charge",false,hso3_m
SQDGS1819Z160,sulfolipid synthase (18:1(9Z)/16:0),{'charge': 1.0},charge,false,""
1AGPEAT1801845Z9Z12Z15Z,"1-acylglycerophosphoethanolamine O-acyltransferase (18:0/18:4(5Z,9Z,12Z,15Z))",{'charge': -4.0},charge,false,cacoa_c
AGPATCOA18111Z160,1-octadec-11-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0) (CoA substrate),{'charge': 2.0},charge,false,pa18111Z160_c
URO,urate oxidase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,5hiu_m
AMO,"amine oxidase, glyoxysomal","{'H': -1.0, 'charge': -1.0}","H,charge",false,""
TAGAH16018111Z1835Z9Z12Z,"triacylglycerol acylhydrolase (16:0/18:1(11Z)/18:3(5Z,9Z,12Z))",{'charge': 1.0},charge,false,""
PLPSD1829Z12Z1835Z9Z12Z,"phospholipase D (18:2(9Z,12Z)/18:3(5Z,12Z,15Z))",{'charge': 2.0},charge,false,""
PLDAGAT1801819Z1819Z3,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),{'charge': -2.0},charge,false,pa18111Z1819Z_c
DAGK18111Z160h,diacylglycerol kinase (18:1(11Z)/16:0),{'charge': 2.0},charge,false,""
G3PAT1819Z,glycerol-3-phosphate: acyl-coa acyltransferase (18:1(9Z)),{'charge': 2.0},charge,false,""
PLPSD1819Z1845Z9Z12Z15Z,"phospholipase D (18:1(9Z)/18:4(5Z,9Z,12Z,15Z))",{'charge': 2.0},charge,false,""
CCP2m,"Cytochrome c peroxidase, mitochondrial","{'C': 18.0, 'H': 40.0, 'N': 8.0, 'O': 4.0, 'charge': -4.0, 'S': 4.0}","C,H,N,O,S,charge",false,"ficytc_m,focytc_m"
FAH1829Z12Z,"fatty acid omega-hydroxylase (18:2(9Z,12Z))",{'charge': 1.0},charge,true,""
APOFETNs,apoferritin Fe3-loading reaction (spontaneous),{'charge': -3.0},charge,true,""
ACOADAGAT16018111Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",{'charge': -4.0},charge,false,cacoa_c
ACOADAGAT1819Z18111Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",{'charge': -4.0},charge,false,cacoa_c
GLUTRS,glutamyl-tRNA synthetase,"{'C': -18.0, 'H': -21.0, 'N': -6.0, 'O': -18.0, 'P': -3.0, 'charge': 4.0}","C,H,N,O,P,charge",true,""
DAGK1819Z160h,diacylglycerol kinase (18:1(9Z)/16:0),{'charge': 2.0},charge,false,""
PAPA1801819Zh,"phosphatidate phosphatase (18:0/18:1(9Z)), chloroplast",{'charge': -2.0},charge,false,"12dgr1801819Z_h,pa1801819Z_h"
PPBNGS,porphobilinogen synthase,"{'H': -2.0, 'charge': -2.0}","H,charge",false,5aop_h
NONDPS2h,all-trans-nonaprenyl-diphosphate synthase (geranylgeranyl diphosphate),"{'H': 5.0, 'charge': 8.0}","H,charge",false,""
MPMECY1,Mg-protoporphyrin IX monomethyl ester (oxidative) cyclase I,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
3OAS181,3-oxoacyl-[acyl-carrier-protein] synthase ((11Z)-n-C18:1),"{'C': -25.0, 'H': -40.0, 'N': -5.0, 'O': -15.0, 'P': -2.0, '*': -2.0, 'charge': 3.0, 'R': 1.0}","*,C,H,N,O,P,R,charge",true,""
PLDAGAT18111Z18111Z1819Z3,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),{'charge': -2.0},charge,false,pa18111Z1819Z_c
PAPA16018111Z,phosphatidate phosphatase (16:0/18:1(11Z)),{'charge': -2.0},charge,false,pa16018111Z_c
ACOADAGAT1601819Z1835Z9Z12Z,"acyl-CoA: diacylglycerol acyltransferase (18:3(5Z,9Z,12Z))",{'charge': -4.0},charge,false,""
PAPA1819Z18111Zh,"phosphatidate phosphatase (18:1(9Z)/18:1(11Z)), chloroplast",{'charge': -2.0},charge,false,"12dgr1819Z18111Z_h,pa1819Z18111Z_h"
FAH1819Z,fatty acid omega-hydroxylase (18:1(9Z)),{'charge': 1.0},charge,true,""
PLDAGAT1819Z18111Z1601,phospholipid: diacylglycerol acyltransferase (16:0),{'charge': -2.0},charge,false,pa18111Z160_c
NONDPSh,all-trans-nonaprenyl-diphosphate synthase (geranyl diphosphate),"{'H': 7.0, 'charge': 10.0}","H,charge",false,""
PAPA1819Z160h,phosphatidate phosphatase (18:1(9Z)/16:0),{'charge': -2.0},charge,false,""
OPC6COAOR,OPC-6:0 CoA:oxygen 2-oxidoreductase,"{'H': 2.0, 'charge': 2.0}","H,charge",false,""
FA180ACPHi,fatty-acyl-ACP hydrolase (n-C18:0),"{'H': -17.0, 'O': -7.0, 'charge': 1.0, 'C': -11.0, 'N': -2.0, 'P': -1.0}","C,H,N,O,P,charge",true,""
DAGK1601819Zh,"diacylglycerol kinase (16:0/18:1(9Z)), chloroplast",{'charge': 2.0},charge,false,"12dgr1601819Z_h,pa1601819Z_h"
SLDK,"selenide, water dikinase","{'H': 1.0, 'charge': 1.0}","H,charge",false,""
OPC4COAOR,OPC-4:0 CoA:oxygen 2-oxidoreductase,"{'H': -2.0, 'charge': -2.0}","H,charge",false,""
papa18111z160Cv,phosphatidate phosphatase (18:1(11z)/16:0),{'charge': -2.0},charge,false,"12dgr18111Z160_c,pa18111Z160_c"
HPACPOh,3-hydroxypimeloyl-[acp]-methyl-ester:NADP+ oxidoreductase,"{'*': -1.0, 'R': 1.0}","*,R",true,""
CMPA,N-carbamoylputrescine amidase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,Ncbmpts_m
ACP1819ZD9DS,stearoyl-[acyl-carrier-protein] delta9-desaturase ((9Z)-n-C18:1),"{'*': -1.0, 'charge': 1.0, 'H': -20.0, 'O': -7.0, 'C': -11.0, 'N': -2.0, 'P': -1.0, 'R': 1.0}","*,C,H,N,O,P,R,charge",true,""
ACOAD8m,isovaleryl-coa dehydrogenase,"{'H': -2.0, 'charge': -2.0}","H,charge",false,""
