id,error_tag,confidence,check,rationale,proposed_fix,fix_verb,fix_arg,evidence,route,reaction_flag,reaction_note
cacoa_c,charge_imbalance_localised,medium,balance_localisation,"all 13 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 4}, which localises the arithmetic to this metabolite, but no structural database carries a formula or charge for it, so the implied value cannot be confirmed","defer: assign a structural identifier first, then take formula/charge from it (arithmetic would give C39H58N7O17P3S/-4)","","",delta={'charge': 4}; current=C39H58N7O17P3S/0; no reference value,balance,imbalance_unresolved_no_reference,cacoa_c has no reference formula/charge; the imbalance in these reactions cannot be attributed until it is annotated
cala_c,mass_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': -1, 'charge': -1}, which localises the arithmetic to this metabolite, but 26dmani_e carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","","delta={'H': -1, 'charge': -1}; current=C4H7N2O3/-1; cancels_with=26dmani_e",balance,imbalance_cancels_between_metabolites,"cala_c and 26dmani_e carry equal and opposite imbalance {'H': -1, 'charge': -1}; the stoichiometry of these reactions is the likely error"
dcamp_c,mass_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': 4, 'charge': 4}, which localises the arithmetic to this metabolite, but MetaNetX carries formula C14H18N5O11P, not C14H14N5O11P. The database annotation outranks the arithmetic, so this metabolite is not the error — the reaction is","","","","delta={'H': 4, 'charge': 4}; current=C14H18N5O11P/0; MetaNetX carries formula C14H18N5O11P, not C14H14N5O11P",balance,imbalance_not_explained_by_metabolite,"balance implies C14H14N5O11P/-4 for dcamp_c, which MetaNetX carries formula C14H18N5O11P, not C14H14N5O11P; check the stoichiometry and the other participants"
dgdp_m,mass_imbalance_localised,high,balance_localisation,"all 3 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': 1, 'charge': 1}, which localises the arithmetic to this metabolite, but 2ahhmd_c carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","","delta={'H': 1, 'charge': 1}; current=C10H12N5O10P2/-3; cancels_with=2ahhmd_c",balance,imbalance_cancels_between_metabolites,"dgdp_m and 2ahhmd_c carry equal and opposite imbalance {'H': 1, 'charge': 1}; the stoichiometry of these reactions is the likely error"
dgtp_m,mass_imbalance_localised,high,balance_localisation,"all 3 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': -1, 'charge': -1}, which localises the arithmetic to this metabolite, but 26dmani_e carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","","delta={'H': -1, 'charge': -1}; current=C10H12N5O13P3/-4; cancels_with=26dmani_e",balance,imbalance_cancels_between_metabolites,"dgtp_m and 26dmani_e carry equal and opposite imbalance {'H': -1, 'charge': -1}; the stoichiometry of these reactions is the likely error"
ficytc_m,mass_imbalance_localised,high,balance_localisation,"all 5 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'C': 9, 'H': 20, 'N': 4, 'O': 2, 'S': 2, 'charge': -2}, which localises the arithmetic to this metabolite, but focytc_m carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","","delta={'C': 9, 'H': 20, 'N': 4, 'O': 2, 'S': 2, 'charge': -2}; current=C42H52FeN8O6S2/1; cancels_with=focytc_m",balance,imbalance_cancels_between_metabolites,"ficytc_m and focytc_m carry equal and opposite imbalance {'C': 9, 'H': 20, 'N': 4, 'O': 2, 'S': 2, 'charge': -2}; the stoichiometry of these reactions is the likely error"
focytc_m,mass_imbalance_localised,high,balance_localisation,"all 5 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'C': -9, 'H': -20, 'N': -4, 'O': -2, 'S': -2, 'charge': 2}, which localises the arithmetic to this metabolite, but ficytc_m carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","","delta={'C': -9, 'H': -20, 'N': -4, 'O': -2, 'S': -2, 'charge': 2}; current=C33H32FeN4O4/2; cancels_with=ficytc_m",balance,imbalance_cancels_between_metabolites,"focytc_m and ficytc_m carry equal and opposite imbalance {'C': -9, 'H': -20, 'N': -4, 'O': -2, 'S': -2, 'charge': 2}; the stoichiometry of these reactions is the likely error"
gdpgal_c,charge_imbalance_localised,high,balance_localisation,"all 3 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 2}, which localises the arithmetic to this metabolite, but 12dgr1601819Z_h carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': 2}; current=C16H23N5O16P2/0; cancels_with=12dgr1601819Z_h,balance,imbalance_cancels_between_metabolites,gdpgal_c and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
hista_c,mass_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': -1, 'charge': -1}, which localises the arithmetic to this metabolite, but 26dmani_e carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","","delta={'H': -1, 'charge': -1}; current=C5H10N3/1; cancels_with=26dmani_e",balance,imbalance_cancels_between_metabolites,"hista_c and 26dmani_e carry equal and opposite imbalance {'H': -1, 'charge': -1}; the stoichiometry of these reactions is the likely error"
histd_c,mass_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': -1, 'charge': -1}, which localises the arithmetic to this metabolite, but 26dmani_e carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","","delta={'H': -1, 'charge': -1}; current=C6H12N3O/1; cancels_with=26dmani_e",balance,imbalance_cancels_between_metabolites,"histd_c and 26dmani_e carry equal and opposite imbalance {'H': -1, 'charge': -1}; the stoichiometry of these reactions is the likely error"
hso3_m,mass_imbalance_localised,high,balance_localisation,"all 3 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': -1, 'charge': -1}, which localises the arithmetic to this metabolite, but 26dmani_e carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","","delta={'H': -1, 'charge': -1}; current=O3S/-2; cancels_with=26dmani_e",balance,imbalance_cancels_between_metabolites,"hso3_m and 26dmani_e carry equal and opposite imbalance {'H': -1, 'charge': -1}; the stoichiometry of these reactions is the likely error"
malcoa_c,mass_imbalance_localised,high,balance_localisation,"all 4 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': -1, 'charge': -1}, which localises the arithmetic to this metabolite, but 26dmani_e carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","","delta={'H': -1, 'charge': -1}; current=C24H33N7O19P3S/-5; cancels_with=26dmani_e",balance,imbalance_cancels_between_metabolites,"malcoa_c and 26dmani_e carry equal and opposite imbalance {'H': -1, 'charge': -1}; the stoichiometry of these reactions is the likely error"
mi13456p_c,mass_imbalance_localised,high,balance_localisation,"all 3 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': -2, 'charge': -2}, which localises the arithmetic to this metabolite, but thfglu_c carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","","delta={'H': -2, 'charge': -2}; current=C6H7O21P5/-10; cancels_with=thfglu_c",balance,imbalance_cancels_between_metabolites,"mi13456p_c and thfglu_c carry equal and opposite imbalance {'H': -2, 'charge': -2}; the stoichiometry of these reactions is the likely error"
pa16018111Z_c,charge_imbalance_localised,high,balance_localisation,"all 10 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 2}, which localises the arithmetic to this metabolite, but 12dgr1601819Z_h carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': 2}; current=C37H69O8P/0; cancels_with=12dgr1601819Z_h,balance,imbalance_cancels_between_metabolites,pa16018111Z_c and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
pa1601819Z_c,charge_imbalance_localised,high,balance_localisation,"all 10 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 2}, which localises the arithmetic to this metabolite, but 12dgr1601819Z_h carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': 2}; current=C37H69O8P/0; cancels_with=12dgr1601819Z_h,balance,imbalance_cancels_between_metabolites,pa1601819Z_c and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
pa1601819Z_h,charge_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 2}, which localises the arithmetic to this metabolite, but 12dgr1601819Z_h carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': 2}; current=C37H69O8P/0; cancels_with=12dgr1601819Z_h,balance,imbalance_cancels_between_metabolites,pa1601819Z_h and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
pa1801819Z_c,charge_imbalance_localised,high,balance_localisation,"all 11 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 2}, which localises the arithmetic to this metabolite, but 12dgr1601819Z_h carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': 2}; current=C39H73O8P/0; cancels_with=12dgr1601819Z_h,balance,imbalance_cancels_between_metabolites,pa1801819Z_c and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
pa1801819Z_h,charge_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 2}, which localises the arithmetic to this metabolite, but 12dgr1601819Z_h carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': 2}; current=C39H73O8P/0; cancels_with=12dgr1601819Z_h,balance,imbalance_cancels_between_metabolites,pa1801819Z_h and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
pa18111Z160_c,charge_imbalance_localised,high,balance_localisation,"all 11 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 2}, which localises the arithmetic to this metabolite, but 12dgr1601819Z_h carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': 2}; current=C37H69O8P/0; cancels_with=12dgr1601819Z_h,balance,imbalance_cancels_between_metabolites,pa18111Z160_c and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
pa18111Z18111Z_c,charge_imbalance_localised,high,balance_localisation,"all 10 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 2}, which localises the arithmetic to this metabolite, but 12dgr1601819Z_h carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': 2}; current=C39H71O8P/0; cancels_with=12dgr1601819Z_h,balance,imbalance_cancels_between_metabolites,pa18111Z18111Z_c and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
pa18111Z1819Z_c,charge_imbalance_localised,high,balance_localisation,"all 11 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 2}, which localises the arithmetic to this metabolite, but 12dgr1601819Z_h carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': 2}; current=C39H71O8P/0; cancels_with=12dgr1601819Z_h,balance,imbalance_cancels_between_metabolites,pa18111Z1819Z_c and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
pa18111Z1819Z_h,charge_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 2}, which localises the arithmetic to this metabolite, but 12dgr1601819Z_h carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': 2}; current=C39H71O8P/0; cancels_with=12dgr1601819Z_h,balance,imbalance_cancels_between_metabolites,pa18111Z1819Z_h and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
pa18111z18111z_h,charge_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 2}, which localises the arithmetic to this metabolite, but 12dgr1601819Z_h carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': 2}; current=C39H71O8P/0; cancels_with=12dgr1601819Z_h,balance,imbalance_cancels_between_metabolites,pa18111z18111z_h and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
pa1819Z1619Z_c,charge_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 2}, which localises the arithmetic to this metabolite, but 12dgr1601819Z_h carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': 2}; current=C37H67O8P/0; cancels_with=12dgr1601819Z_h,balance,imbalance_cancels_between_metabolites,pa1819Z1619Z_c and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
pa1819Z1619Z_h,charge_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 2}, which localises the arithmetic to this metabolite, but 12dgr1601819Z_h carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': 2}; current=C37H67O8P/0; cancels_with=12dgr1601819Z_h,balance,imbalance_cancels_between_metabolites,pa1819Z1619Z_h and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
pa1819Z18111Z_h,charge_imbalance_localised,high,balance_localisation,"all 2 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'charge': 2}, which localises the arithmetic to this metabolite, but 12dgr1601819Z_h carries the equal and opposite imbalance: correcting both would reproduce the same imbalance, so the error is in the reaction, not in either metabolite","","","",delta={'charge': 2}; current=C39H71O8P/0; cancels_with=12dgr1601819Z_h,balance,imbalance_cancels_between_metabolites,pa1819Z18111Z_h and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
