reaction,reaction_name,reaction_string,metabolite,flag,source_tag,note
1AGPEAT1819Z1845Z9Z12Z15Z,"1-acylglycerophosphoethanolamine O-acyltransferase (18:1(9Z)/18:4(5Z,9Z,12Z,15Z))",1agpe1819Z_c + cacoa_c --> coa_c + pe1819Z1845Z9Z12Z15Z_c,cacoa_c,imbalance_unresolved_no_reference,charge_imbalance_localised,cacoa_c has no reference formula/charge; the imbalance in these reactions cannot be attributed until it is annotated
1AGPEAT1819Z1845Z9Z12Z15Z,"1-acylglycerophosphoethanolamine O-acyltransferase (18:1(9Z)/18:4(5Z,9Z,12Z,15Z))",1agpe1819Z_c + cacoa_c --> coa_c + pe1819Z1845Z9Z12Z15Z_c,cacoa_c,metabolite_may_not_exist,probable_fantasy_metabolite,cacoa_c has no structural database record; these reactions are unverifiable until it is confirmed or removed
1AGPEAT1829Z12Z1835Z9Z12Z,"1-acylglycerophosphoethanolamine O-acyltransferase (18:2(9Z,12Z)/18:3(5Z,12Z,15Z))",1agpe1829Z12Z_c + pacoa_c --> coa_c + pe1829Z12Z1835Z9Z12Z_c,pacoa_c,metabolite_may_not_exist,probable_fantasy_metabolite,pacoa_c has no structural database record; these reactions are unverifiable until it is confirmed or removed
2hblCv,"(R)-2-hydroxybutane-1,2,4-tricarboxylate hydro-lyase",hicit_m <=> h2o_m + hcaco_m,hicit_m,duplicate_metabolite_merge,duplicate_metabolite,hicit_m is a duplicate of ['hisocit_m']; after the merge these reactions may themselves become duplicates and need review
2ogtmhCv,2-oxoglutaramate amidohydrolase,2oglutm_h + h2o_h --> 2oglut_h + nh4_h,2oglut_h,non_bigg_reaction_duplicates_bigg,shadow_duplicate,2ogtmhCv has no BiGG id and no xrefs but its name matches BiGG OXOGAH_h (2ogm_h + h2o_h <-> akg_h + nh4_h); confirm whether it should be replaced by the BiGG reaction
2ogtmhCv,2-oxoglutaramate amidohydrolase,2oglutm_h + h2o_h --> 2oglut_h + nh4_h,2oglutm_h,charge_unresolved_no_reference,charge_implausible_for_formula,2oglutm_h carries an implausible charge that no database can arbitrate; reactions using it may appear charge-imbalanced for that reason
2ogtmhCv,2-oxoglutaramate amidohydrolase,2oglutm_h + h2o_h --> 2oglut_h + nh4_h,2oglutm_h,metabolite_may_not_exist,probable_fantasy_metabolite,2oglutm_h has no structural database record; these reactions are unverifiable until it is confirmed or removed
2ogtmhCv,2-oxoglutaramate amidohydrolase,2oglutm_h + h2o_h --> 2oglut_h + nh4_h,2oglutm_h,non_bigg_reaction_duplicates_bigg,shadow_duplicate,2ogtmhCv has no BiGG id and no xrefs but its name matches BiGG OXOGAH_h (2ogm_h + h2o_h <-> akg_h + nh4_h); confirm whether it should be replaced by the BiGG reaction
2ogtmhCv,2-oxoglutaramate amidohydrolase,2oglutm_h + h2o_h --> 2oglut_h + nh4_h,2oglutm_h,uncurated_species_in_reaction,uncurated_name_stub,2oglutm_h was never curated; check whether these reactions duplicate a BiGG reaction using the curated species instead
3OACOAS,3-oxoacyl-CoA synthase (18:0),malcoa_c + pmtcoa_c --> 3ohodcoa_c + co2_c + coa_c,malcoa_c,imbalance_cancels_between_metabolites,mass_imbalance_localised,"malcoa_c and 26dmani_e carry equal and opposite imbalance {'H': -1, 'charge': -1}; the stoichiometry of these reactions is the likely error"
3SPYRSPh,"3-sulfinopyruvate hydrolase (spontaneous), chloroplast",3snpyr_h + h2o_h --> hso3_h + pyr_h,hso3_h,non_bigg_reaction_duplicates_bigg,shadow_duplicate,SULR_ferr_2 has no BiGG id and no xrefs but its name matches BiGG SO3R_h (6.0 fdxrd_h + 7.0 h_h + so3_h <-> 6.0 fdxox_h + 3.0 h2o_h + h2s_h); confirm whether it should be replaced by the BiGG reaction
3SPYRSPh,"3-sulfinopyruvate hydrolase (spontaneous), chloroplast",3snpyr_h + h2o_h --> hso3_h + pyr_h,hso3_h,non_bigg_reaction_duplicates_bigg,shadow_duplicate,SULR_ferr_2 has no BiGG id and no xrefs but its name matches BiGG SULR_ferr (6.0 fdxrd_h + so3_h <-> 6.0 fdxox_h + 6.0 h_h + 3.0 h2o_h + h2s_h); confirm whether it should be replaced by the BiGG reaction
3SPYRSPm,"3-sulfinopyruvate hydrolase (spontaneous), mitochondria",3snpyr_m + h2o_m --> hso3_m + pyr_m,hso3_m,imbalance_cancels_between_metabolites,mass_imbalance_localised,"hso3_m and 26dmani_e carry equal and opposite imbalance {'H': -1, 'charge': -1}; the stoichiometry of these reactions is the likely error"
AACP1819ZS,long-chain-fatty-acid-[acyl-carrier-protein] ligase (18:1(9Z)),ACP_h + atp_h + ocdce9a_h --> amp_h + h_h + octe9ACP_h + ppi_h,ocdce9a_h,duplicate_metabolite_merge,duplicate_metabolite,ocdce9a_h is a duplicate of ['ocdcea_h']; after the merge these reactions may themselves become duplicates and need review
AACPS5,long-chain-fatty-acid-[acyl-carrier-protein] ligase (18:1(11Z)),ACP_h + atp_h + ocdcea_h --> amp_h + h_h + octeACP_h + ppi_h,ocdcea_h,duplicate_metabolite_merge,duplicate_metabolite,ocdcea_h is a duplicate of ['ocdce9a_h']; after the merge these reactions may themselves become duplicates and need review
ACCOAC,Acetyl-CoA carboxylase,accoa_c + atp_c + hco3_c --> adp_c + malcoa_c + pi_c,malcoa_c,imbalance_cancels_between_metabolites,mass_imbalance_localised,"malcoa_c and 26dmani_e carry equal and opposite imbalance {'H': -1, 'charge': -1}; the stoichiometry of these reactions is the likely error"
ACHMSSELCYSL,"O-Acetylhomoserine succinate-lyase (adding cysteine), cytosol",achms_c + selcys_c --> ac_c + selcyst_c,selcyst_c,imbalance_cancels_between_metabolites,mass_imbalance_localised,"selcyst_c and 26dmani_e carry equal and opposite imbalance {'H': -1, 'charge': -1}; the stoichiometry of these reactions is the likely error"
ACHMSSELCYSLh,"O-Acetylhomoserine succinate-lyase (adding cysteine), chloroplast",achms_h + selcys_h --> ac_h + selcyst_h,selcyst_h,imbalance_cancels_between_metabolites,mass_imbalance_localised,"selcyst_h and 26dmani_e carry equal and opposite imbalance {'H': -1, 'charge': -1}; the stoichiometry of these reactions is the likely error"
ACOADAGAT16018111Z180,acyl-CoA: diacylglycerol acyltransferase (18:0),12dgr16018111Z_c + ocdccoa_c --> coa_c + tag16018111Z180_c,ocdccoa_c,duplicate_metabolite_merge,duplicate_metabolite,ocdccoa_c is a duplicate of ['stcoa_c']; after the merge these reactions may themselves become duplicates and need review
ACOADAGAT16018111Z1835Z9Z12Z,"acyl-CoA: diacylglycerol acyltransferase (18:3(5Z,9Z,12Z))",12dgr16018111Z_c + pacoa_c --> coa_c + tag16018111Z1835Z9Z12Z_c,pacoa_c,metabolite_may_not_exist,probable_fantasy_metabolite,pacoa_c has no structural database record; these reactions are unverifiable until it is confirmed or removed
ACOADAGAT16018111Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",12dgr16018111Z_c + cacoa_c --> coa_c + tag16018111Z1845Z9Z12Z15Z_c,cacoa_c,charge_unresolved_no_reference,charge_implausible_for_formula,cacoa_c carries an implausible charge that no database can arbitrate; reactions using it may appear charge-imbalanced for that reason
ACOADAGAT16018111Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",12dgr16018111Z_c + cacoa_c --> coa_c + tag16018111Z1845Z9Z12Z15Z_c,cacoa_c,imbalance_unresolved_no_reference,charge_imbalance_localised,cacoa_c has no reference formula/charge; the imbalance in these reactions cannot be attributed until it is annotated
ACOADAGAT16018111Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",12dgr16018111Z_c + cacoa_c --> coa_c + tag16018111Z1845Z9Z12Z15Z_c,cacoa_c,metabolite_may_not_exist,probable_fantasy_metabolite,cacoa_c has no structural database record; these reactions are unverifiable until it is confirmed or removed
ACOADAGAT1601819Z180,acyl-CoA: diacylglycerol acyltransferase (18:0),12dgr1601819Z_c + ocdccoa_c --> coa_c + tag1601819Z180_c,ocdccoa_c,duplicate_metabolite_merge,duplicate_metabolite,ocdccoa_c is a duplicate of ['stcoa_c']; after the merge these reactions may themselves become duplicates and need review
ACOADAGAT1601819Z1835Z9Z12Z,"acyl-CoA: diacylglycerol acyltransferase (18:3(5Z,9Z,12Z))",12dgr1601819Z_c + pacoa_c --> coa_c + tag1601819Z1835Z9Z12Z_c,pacoa_c,metabolite_may_not_exist,probable_fantasy_metabolite,pacoa_c has no structural database record; these reactions are unverifiable until it is confirmed or removed
ACOADAGAT1601819Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",12dgr1601819Z_c + cacoa_c --> coa_c + tag1601819Z1845Z9Z12Z15Z_c,cacoa_c,charge_unresolved_no_reference,charge_implausible_for_formula,cacoa_c carries an implausible charge that no database can arbitrate; reactions using it may appear charge-imbalanced for that reason
ACOADAGAT1601819Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",12dgr1601819Z_c + cacoa_c --> coa_c + tag1601819Z1845Z9Z12Z15Z_c,cacoa_c,imbalance_unresolved_no_reference,charge_imbalance_localised,cacoa_c has no reference formula/charge; the imbalance in these reactions cannot be attributed until it is annotated
ACOADAGAT1601819Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",12dgr1601819Z_c + cacoa_c --> coa_c + tag1601819Z1845Z9Z12Z15Z_c,cacoa_c,metabolite_may_not_exist,probable_fantasy_metabolite,cacoa_c has no structural database record; these reactions are unverifiable until it is confirmed or removed
ACOADAGAT1801819Z180,acyl-CoA: diacylglycerol acyltransferase (18:0),12dgr1801819Z_c + ocdccoa_c --> coa_c + tag1801819Z180_c,ocdccoa_c,duplicate_metabolite_merge,duplicate_metabolite,ocdccoa_c is a duplicate of ['stcoa_c']; after the merge these reactions may themselves become duplicates and need review
ACOADAGAT1801819Z1835Z9Z12Z,"acyl-CoA: diacylglycerol acyltransferase (18:3(5Z,9Z,12Z))",12dgr1801819Z_c + pacoa_c --> coa_c + tag1801819Z1835Z9Z12Z_c,pacoa_c,metabolite_may_not_exist,probable_fantasy_metabolite,pacoa_c has no structural database record; these reactions are unverifiable until it is confirmed or removed
ACOADAGAT1801819Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",12dgr1801819Z_c + cacoa_c --> coa_c + tag1801819Z1845Z9Z12Z15Z_c,cacoa_c,charge_unresolved_no_reference,charge_implausible_for_formula,cacoa_c carries an implausible charge that no database can arbitrate; reactions using it may appear charge-imbalanced for that reason
ACOADAGAT1801819Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",12dgr1801819Z_c + cacoa_c --> coa_c + tag1801819Z1845Z9Z12Z15Z_c,cacoa_c,imbalance_unresolved_no_reference,charge_imbalance_localised,cacoa_c has no reference formula/charge; the imbalance in these reactions cannot be attributed until it is annotated
ACOADAGAT1801819Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",12dgr1801819Z_c + cacoa_c --> coa_c + tag1801819Z1845Z9Z12Z15Z_c,cacoa_c,metabolite_may_not_exist,probable_fantasy_metabolite,cacoa_c has no structural database record; these reactions are unverifiable until it is confirmed or removed
ACOADAGAT18111Z18111Z180,acyl-CoA: diacylglycerol acyltransferase (18:0),12dgr18111Z18111Z_c + ocdccoa_c --> coa_c + tag18111Z18111Z180_c,ocdccoa_c,duplicate_metabolite_merge,duplicate_metabolite,ocdccoa_c is a duplicate of ['stcoa_c']; after the merge these reactions may themselves become duplicates and need review
ACOADAGAT18111Z18111Z1835Z9Z12Z,"acyl-CoA: diacylglycerol acyltransferase (18:3(5Z,9Z,12Z))",12dgr18111Z18111Z_c + pacoa_c --> coa_c + tag18111Z18111Z1835Z9Z12Z_c,pacoa_c,metabolite_may_not_exist,probable_fantasy_metabolite,pacoa_c has no structural database record; these reactions are unverifiable until it is confirmed or removed
ACOADAGAT18111Z18111Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",12dgr18111Z18111Z_c + cacoa_c --> coa_c + tag18111Z18111Z1845Z9Z12Z15Z_c,cacoa_c,charge_unresolved_no_reference,charge_implausible_for_formula,cacoa_c carries an implausible charge that no database can arbitrate; reactions using it may appear charge-imbalanced for that reason
ACOADAGAT18111Z18111Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",12dgr18111Z18111Z_c + cacoa_c --> coa_c + tag18111Z18111Z1845Z9Z12Z15Z_c,cacoa_c,imbalance_unresolved_no_reference,charge_imbalance_localised,cacoa_c has no reference formula/charge; the imbalance in these reactions cannot be attributed until it is annotated
ACOADAGAT18111Z18111Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",12dgr18111Z18111Z_c + cacoa_c --> coa_c + tag18111Z18111Z1845Z9Z12Z15Z_c,cacoa_c,metabolite_may_not_exist,probable_fantasy_metabolite,cacoa_c has no structural database record; these reactions are unverifiable until it is confirmed or removed
ACOADAGAT18111Z1819Z180,acyl-CoA: diacylglycerol acyltransferase (18:0),12dgr18111Z1819Z_c + ocdccoa_c --> coa_c + tag18111Z1819Z180_c,ocdccoa_c,duplicate_metabolite_merge,duplicate_metabolite,ocdccoa_c is a duplicate of ['stcoa_c']; after the merge these reactions may themselves become duplicates and need review
ACOADAGAT18111Z1819Z1835Z9Z12Z,"acyl-CoA: diacylglycerol acyltransferase (18:3(5Z,9Z,12Z))",12dgr18111Z1819Z_c + pacoa_c --> coa_c + tag18111Z1819Z1835Z9Z12Z_c,pacoa_c,metabolite_may_not_exist,probable_fantasy_metabolite,pacoa_c has no structural database record; these reactions are unverifiable until it is confirmed or removed
ACOADAGAT18111Z1819Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",12dgr18111Z1819Z_c + cacoa_c --> coa_c + tag18111Z1819Z1845Z9Z12Z15Z_c,cacoa_c,charge_unresolved_no_reference,charge_implausible_for_formula,cacoa_c carries an implausible charge that no database can arbitrate; reactions using it may appear charge-imbalanced for that reason
ACOADAGAT18111Z1819Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",12dgr18111Z1819Z_c + cacoa_c --> coa_c + tag18111Z1819Z1845Z9Z12Z15Z_c,cacoa_c,imbalance_unresolved_no_reference,charge_imbalance_localised,cacoa_c has no reference formula/charge; the imbalance in these reactions cannot be attributed until it is annotated
ACOADAGAT18111Z1819Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",12dgr18111Z1819Z_c + cacoa_c --> coa_c + tag18111Z1819Z1845Z9Z12Z15Z_c,cacoa_c,metabolite_may_not_exist,probable_fantasy_metabolite,cacoa_c has no structural database record; these reactions are unverifiable until it is confirmed or removed
ACOADAGAT1819Z18111Z180,acyl-CoA: diacylglycerol acyltransferase (18:0),12dgr1819Z18111Z_c + ocdccoa_c --> coa_c + tag1819Z18111Z180_c,ocdccoa_c,duplicate_metabolite_merge,duplicate_metabolite,ocdccoa_c is a duplicate of ['stcoa_c']; after the merge these reactions may themselves become duplicates and need review
ACOADAGAT1819Z18111Z1835Z9Z12Z,"acyl-CoA: diacylglycerol acyltransferase (18:3(5Z,9Z,12Z))",12dgr1819Z18111Z_c + pacoa_c --> coa_c + tag1819Z18111Z1835Z9Z12Z_c,pacoa_c,metabolite_may_not_exist,probable_fantasy_metabolite,pacoa_c has no structural database record; these reactions are unverifiable until it is confirmed or removed
ACOADAGAT1819Z18111Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",12dgr1819Z18111Z_c + cacoa_c --> coa_c + tag1819Z18111Z1845Z9Z12Z15Z_c,cacoa_c,charge_unresolved_no_reference,charge_implausible_for_formula,cacoa_c carries an implausible charge that no database can arbitrate; reactions using it may appear charge-imbalanced for that reason
ACOADAGAT1819Z18111Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",12dgr1819Z18111Z_c + cacoa_c --> coa_c + tag1819Z18111Z1845Z9Z12Z15Z_c,cacoa_c,imbalance_unresolved_no_reference,charge_imbalance_localised,cacoa_c has no reference formula/charge; the imbalance in these reactions cannot be attributed until it is annotated
ACOADAGAT1819Z18111Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",12dgr1819Z18111Z_c + cacoa_c --> coa_c + tag1819Z18111Z1845Z9Z12Z15Z_c,cacoa_c,metabolite_may_not_exist,probable_fantasy_metabolite,cacoa_c has no structural database record; these reactions are unverifiable until it is confirmed or removed
ACOADAGAT1819Z1819Z180,acyl-CoA: diacylglycerol acyltransferase (18:0),12dgr1819Z1819Z_c + ocdccoa_c --> coa_c + tag1819Z1819Z180_c,ocdccoa_c,duplicate_metabolite_merge,duplicate_metabolite,ocdccoa_c is a duplicate of ['stcoa_c']; after the merge these reactions may themselves become duplicates and need review
ACOADAGAT1819Z1819Z1835Z9Z12Z,"acyl-CoA: diacylglycerol acyltransferase (18:3(5Z,9Z,12Z))",12dgr1819Z1819Z_c + pacoa_c --> coa_c + tag1819Z1819Z1835Z9Z12Z_c,pacoa_c,metabolite_may_not_exist,probable_fantasy_metabolite,pacoa_c has no structural database record; these reactions are unverifiable until it is confirmed or removed
ACOADAGAT1819Z1819Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",12dgr1819Z1819Z_c + cacoa_c --> coa_c + tag1819Z1819Z1845Z9Z12Z15Z_c,cacoa_c,charge_unresolved_no_reference,charge_implausible_for_formula,cacoa_c carries an implausible charge that no database can arbitrate; reactions using it may appear charge-imbalanced for that reason
ACOADAGAT1819Z1819Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",12dgr1819Z1819Z_c + cacoa_c --> coa_c + tag1819Z1819Z1845Z9Z12Z15Z_c,cacoa_c,imbalance_unresolved_no_reference,charge_imbalance_localised,cacoa_c has no reference formula/charge; the imbalance in these reactions cannot be attributed until it is annotated
ACOADAGAT1819Z1819Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",12dgr1819Z1819Z_c + cacoa_c --> coa_c + tag1819Z1819Z1845Z9Z12Z15Z_c,cacoa_c,metabolite_may_not_exist,probable_fantasy_metabolite,cacoa_c has no structural database record; these reactions are unverifiable until it is confirmed or removed
ACSERL,"O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide), cytosol",acser_c + seln_c <=> ac_c + 2.0 h_c + selcys_c,seln_c,imbalance_cancels_between_metabolites,mass_imbalance_localised,"seln_c and 2mhob_m carry equal and opposite imbalance {'H': -3, 'charge': -3}; the stoichiometry of these reactions is the likely error"
ADSL1r,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming)",dcamp_c --> amp_c + fum_c,dcamp_c,imbalance_not_explained_by_metabolite,mass_imbalance_localised,"balance implies C14H14N5O11P/-4 for dcamp_c, which MetaNetX carries formula C14H18N5O11P, not C14H14N5O11P; check the stoichiometry and the other participants"
ADSS,adenylosuccinate synthase,asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c,dcamp_c,imbalance_not_explained_by_metabolite,mass_imbalance_localised,"balance implies C14H14N5O11P/-4 for dcamp_c, which MetaNetX carries formula C14H18N5O11P, not C14H14N5O11P; check the stoichiometry and the other participants"
AGDI,"agmatine deiminase, mitochondria",agm_m + h2o_m + h_m --> Ncbmpts_m + nh4_m,Ncbmpts_m,imbalance_cancels_between_metabolites,mass_imbalance_localised,"Ncbmpts_m and 26dmani_e carry equal and opposite imbalance {'H': -1, 'charge': -1}; the stoichiometry of these reactions is the likely error"
AGPAT1601819Zh,1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase ((9Z)-C18:1) (ACP substrate),1hdecg3p_h + octe9ACP_h --> ACP_h + pa1601819Z_h,pa1601819Z_h,imbalance_cancels_between_metabolites,charge_imbalance_localised,pa1601819Z_h and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
AGPAT1801819Zh,1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase ((9Z)-C18:1) (ACP substrate),1odecg3p_h + octe9ACP_h --> ACP_h + pa1801819Z_h,pa1801819Z_h,imbalance_cancels_between_metabolites,charge_imbalance_localised,pa1801819Z_h and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
AGPAT18111Z1819Zh,1-octadec-11-enoyl-sn-glycerol 3-phosphate O-acyltransferase ((9Z)-C18:1) (ACP substrate),1odec11eg3p_h + octe9ACP_h --> ACP_h + pa18111Z1819Z_h,pa18111Z1819Z_h,imbalance_cancels_between_metabolites,charge_imbalance_localised,pa18111Z1819Z_h and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
AGPAT1819Z1619Zh,1-octadec-9-enoyl-sn-glycerol 3-phosphateO-acyltransferase ((9Z)-C16:1) (ACP substrate),1odec9eg3p_h + hdeACP_h --> ACP_h + pa1819Z1619Z_h,pa1819Z1619Z_h,imbalance_cancels_between_metabolites,charge_imbalance_localised,pa1819Z1619Z_h and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
AGPAT1819Z18111Zh,1-octadec-9-enoyl-sn-glycerol 3-phosphateO-acyltransferase ((11Z)-C18:1) (ACP substrate),1odec9eg3p_h + octeACP_h --> ACP_h + pa1819Z18111Z_h,pa1819Z18111Z_h,imbalance_cancels_between_metabolites,charge_imbalance_localised,pa1819Z18111Z_h and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
AGPAT1819Z1819Zh,1-octadec-9-enoyl-sn-glycerol 3-phosphateO-acyltransferase ((9Z)-C18:1) (ACP substrate),1odec9eg3p_h + octe9ACP_h --> ACP_h + pa1819Z1819Z_h,pa1819Z1819Z_h,imbalance_cancels_between_metabolites,charge_imbalance_localised,pa1819Z1819Z_h and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
AGPATCOA16018111Z,1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase ((11Z)-C18:1) (CoA substrate),1hdecg3p_c + ocdcecoa_c --> coa_c + pa16018111Z_c,pa16018111Z_c,imbalance_cancels_between_metabolites,charge_imbalance_localised,pa16018111Z_c and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
AGPATCOA1601819Z,1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase ((9Z)-C18:1) (CoA substrate),1hdecg3p_c + ocdce9coa_c --> coa_c + pa1601819Z_c,pa1601819Z_c,imbalance_cancels_between_metabolites,charge_imbalance_localised,pa1601819Z_c and 12dgr1601819Z_h carry equal and opposite imbalance {'charge': 2}; the stoichiometry of these reactions is the likely error
