id,error_tag,confidence,check,rationale,proposed_fix,evidence,verdict_TP_FP,curator_note,fix_accepted
ascb__L_c,cross_compartment_inconsistency,high,cross_compartment,"the same base id ascb__L differs across compartments: formula ['C6H7O6', 'C6H8O6']; charge [-1, 0]; metanetx ['MNXM727871', 'MNXM1371098']; name ['L-ascorbate', 'D-isoascorbic acid']",make all compartment instances of one species identical,"['ascb__L_u', 'ascb__L_c', 'ascb__L_h']",TP,,1
ascb__L_h,cross_compartment_inconsistency,high,cross_compartment,"the same base id ascb__L differs across compartments: formula ['C6H7O6', 'C6H8O6']; charge [-1, 0]; metanetx ['MNXM727871', 'MNXM1371098']; name ['L-ascorbate', 'D-isoascorbic acid']",make all compartment instances of one species identical,"['ascb__L_u', 'ascb__L_c', 'ascb__L_h']",TP,,1
ascb__L_u,cross_compartment_inconsistency,high,cross_compartment,"the same base id ascb__L differs across compartments: formula ['C6H7O6', 'C6H8O6']; charge [-1, 0]; metanetx ['MNXM727871', 'MNXM1371098']; name ['L-ascorbate', 'D-isoascorbic acid']",make all compartment instances of one species identical,"['ascb__L_u', 'ascb__L_c', 'ascb__L_h']",TP,,1
5mtr_c,deprecated_metanetx_id,high,metanetx_ids,MNXM1592 is deprecated in the current MetaNetX release,"replace with MNXM729971,MNXM729972 (pick by formula/charge match)","MNXM1592 -> MNXM729971,MNXM729972",TP,,1
campstnl_c,deprecated_metanetx_id,high,metanetx_ids,MNXM736368 is deprecated in the current MetaNetX release,"replace with MNXM1371753,MNXM1371754 (pick by formula/charge match)","MNXM736368 -> MNXM1371753,MNXM1371754",TP,,1
dtct_h,deprecated_metanetx_id,high,metanetx_ids,MNXM48991 is deprecated in the current MetaNetX release,"replace with MNXM1369785,MNXM1369786 (pick by formula/charge match)","MNXM48991 -> MNXM1369785,MNXM1369786",TP,,1
gal1p_L_c,deprecated_metanetx_id,high,metanetx_ids,MNXM1106067 is deprecated in the current MetaNetX release,"replace with MNXM1364212,MNXM1364213,MNXM1364214 (pick by formula/charge match)","MNXM1106067 -> MNXM1364212,MNXM1364213,MNXM1364214",TP,,1
glc_D_B_c,deprecated_metanetx_id,high,metanetx_ids,MNXM1105026 is deprecated in the current MetaNetX release,"replace with MNXM1364060,MNXM1364061,MNXM1364062 (pick by formula/charge match)","MNXM1105026 -> MNXM1364060,MNXM1364061,MNXM1364062",TP,,1
glc_D_B_h,deprecated_metanetx_id,high,metanetx_ids,MNXM1105026 is deprecated in the current MetaNetX release,"replace with MNXM1364060,MNXM1364061,MNXM1364062 (pick by formula/charge match)","MNXM1105026 -> MNXM1364060,MNXM1364061,MNXM1364062",TP,,1
menlphnl_c,deprecated_metanetx_id,high,metanetx_ids,MNXM731614 is deprecated in the current MetaNetX release,"replace with MNXM1371336,MNXM1371337 (pick by formula/charge match)","MNXM731614 -> MNXM1371336,MNXM1371337",TP,,1
protds_h,deprecated_metanetx_id,high,metanetx_ids,MNXM1221 is deprecated in the current MetaNetX release,"replace with MNXM727363,MNXM727364,MNXM727365 (pick by formula/charge match)","MNXM1221 -> MNXM727363,MNXM727364,MNXM727365,MNXM727366,MNXM727367",TP,,1
protdt_h,deprecated_metanetx_id,high,metanetx_ids,MNXM1222 is deprecated in the current MetaNetX release,"replace with MNXM727373,MNXM727374,MNXM727375 (pick by formula/charge match)","MNXM1222 -> MNXM727373,MNXM727374,MNXM727375,MNXM727376",TP,,1
bathorhodopsin_h,duplicate_metabolite,high,duplicates:metanetx.chemical,"same MetaNetX id as ['metarhodopsin_h', 'lumirhodopsin_h'] in compartment h","merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM735298,FP,"This is one of the hardest cases to disambiguate. Propagation through chebi database would have led to the identification three different kegg identifiers for each metabolite. Although the formula and smiles are the same, the three metabolites are different entities in kegg and chebi. Maybe raise a new flag chemically_identical_but_distinct_in_databases.",0
hicit_m,duplicate_metabolite,high,duplicates:metanetx.chemical,same MetaNetX id as ['hisocit_m'] in compartment m,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM984,TP,"Metabolite hicit is a True BiGG identifier, the fix proposition should favor hicit_m over hisocit_m",1
hicit_m,duplicate_metabolite,high,duplicates:inchikey,identical InChIKey as ['hisocit_m'] in compartment m,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",inchikey=OEJZZCGRGVFWHK-WVZVXSGGSA-K,TP,"Metabolite hicit is a True BiGG identifier, the fix proposition should favor hicit_m over hisocit_m",1
hisocit_m,duplicate_metabolite,high,duplicates:inchikey,identical InChIKey as ['hicit_m'] in compartment m,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",inchikey=OEJZZCGRGVFWHK-WVZVXSGGSA-K,TP,Metabolite id hisocit is not a true BiGG identifier. This should raise a flag and a note on the reactions it participates for a reaction_reviewer agent round.,1
hisocit_m,duplicate_metabolite,high,duplicates:metanetx.chemical,same MetaNetX id as ['hicit_m'] in compartment m,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM984,TP,Metabolite id hisocit is not a true BiGG identifier. This should raise a flag and a note on the reactions it participates for a reaction_reviewer agent round.,1
lumirhodopsin_h,duplicate_metabolite,high,duplicates:metanetx.chemical,"same MetaNetX id as ['metarhodopsin_h', 'bathorhodopsin_h'] in compartment h","merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM735298,FP,"This is one of the hardest cases to disambiguate. Propagation through chebi database would have led to the identification three different kegg identifiers for each metabolite. Although the formula and smiles are the same, the three metabolites are different entities in kegg and chebi. Maybe raise a new flag chemically_identical_but_distinct_in_databases.",0
metarhodopsin_h,duplicate_metabolite,high,duplicates:metanetx.chemical,"same MetaNetX id as ['lumirhodopsin_h', 'bathorhodopsin_h'] in compartment h","merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM735298,FP,"This is one of the hardest cases to disambiguate. Propagation through chebi database would have led to the identification three different kegg identifiers for each metabolite. Although the formula and smiles are the same, the three metabolites are different entities in kegg and chebi. Maybe raise a new flag chemically_identical_but_distinct_in_databases.",0
ocdccoa_c,duplicate_metabolite,high,duplicates:metanetx.chemical,same MetaNetX id as ['stcoa_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM1104352,TP,"Both metabolite ids ocdccoa and stcoa are true bigg identifiers. However, id stcoa is found in more models than ocdccoa. The fix proposition should favor stcoa over ocdccoa.",1
ocdccoa_c,duplicate_metabolite,high,duplicates:inchikey,identical InChIKey as ['stcoa_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",inchikey=SIARJEKBADXQJG-LFZQUHGESA-J,TP,"Both metabolite ids ocdccoa and stcoa are true bigg identifiers. However, id stcoa is found in more models than ocdccoa. The fix proposition should favor stcoa over ocdccoa.",1
ocdce9a_c,duplicate_metabolite,high,duplicates:inchikey,identical InChIKey as ['ocdcea_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",inchikey=ZQPPMHVWECSIRJ-KTKRTIGZSA-M,TP,"Both metabolite ids ocdce9a and ocdcea are true bigg identifiers. However, id ocdcea is found in more models than ocdce9a. The fix proposition should favor ocdcea over ocdce9a.",1
ocdce9a_c,duplicate_metabolite,high,duplicates:metanetx.chemical,same MetaNetX id as ['ocdcea_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM1364393,TP,"Both metabolite ids ocdce9a and ocdcea are true bigg identifiers. However, id ocdcea is found in more models than ocdce9a. The fix proposition should favor ocdcea over ocdce9a.",1
ocdce9a_h,duplicate_metabolite,high,duplicates:metanetx.chemical,same MetaNetX id as ['ocdcea_h'] in compartment h,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM1364393,TP,"Both metabolite ids ocdce9a and ocdcea are true bigg identifiers. However, id ocdcea is found in more models than ocdce9a. The fix proposition should favor ocdcea over ocdce9a.",1
ocdce9a_h,duplicate_metabolite,high,duplicates:inchikey,identical InChIKey as ['ocdcea_h'] in compartment h,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",inchikey=ZQPPMHVWECSIRJ-KTKRTIGZSA-M,TP,"Both metabolite ids ocdce9a and ocdcea are true bigg identifiers. However, id ocdcea is found in more models than ocdce9a. The fix proposition should favor ocdcea over ocdce9a.",1
ocdcea_c,duplicate_metabolite,high,duplicates:inchikey,identical InChIKey as ['ocdce9a_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",inchikey=ZQPPMHVWECSIRJ-KTKRTIGZSA-M,TP,"Both metabolite ids ocdce9a and ocdcea are true bigg identifiers. However, id ocdcea is found in more models than ocdce9a. The fix proposition should favor ocdcea over ocdce9a.",1
ocdcea_c,duplicate_metabolite,high,duplicates:metanetx.chemical,same MetaNetX id as ['ocdce9a_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM1364393,TP,"Both metabolite ids ocdce9a and ocdcea are true bigg identifiers. However, id ocdcea is found in more models than ocdce9a. The fix proposition should favor ocdcea over ocdce9a.",1
ocdcea_h,duplicate_metabolite,high,duplicates:metanetx.chemical,same MetaNetX id as ['ocdce9a_h'] in compartment h,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM1364393,TP,"Both metabolite ids ocdce9a and ocdcea are true bigg identifiers. However, id ocdcea is found in more models than ocdce9a. The fix proposition should favor ocdcea over ocdce9a.",1
ocdcea_h,duplicate_metabolite,high,duplicates:inchikey,identical InChIKey as ['ocdce9a_h'] in compartment h,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",inchikey=ZQPPMHVWECSIRJ-KTKRTIGZSA-M,TP,"Both metabolite ids ocdce9a and ocdcea are true bigg identifiers. However, id ocdcea is found in more models than ocdce9a. The fix proposition should favor ocdcea over ocdce9a.",1
stcoa_c,duplicate_metabolite,high,duplicates:inchikey,identical InChIKey as ['ocdccoa_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",inchikey=SIARJEKBADXQJG-LFZQUHGESA-J,TP,"Both metabolite ids ocdccoa and stcoa are true bigg identifiers. However, id stcoa is found in more models than ocdccoa. The fix proposition should favor stcoa over ocdccoa.",1
stcoa_c,duplicate_metabolite,high,duplicates:metanetx.chemical,same MetaNetX id as ['ocdccoa_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM1104352,TP,"Both metabolite ids ocdccoa and stcoa are true bigg identifiers. However, id stcoa is found in more models than ocdccoa. The fix proposition should favor stcoa over ocdccoa.",1
tag16018111Z18111Z_c,duplicate_metabolite,high,duplicates:metanetx.chemical,same MetaNetX id as ['tag18111Z18111Z160_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM728748,FP,"These are different entities. There are two ways in which I would have resolved this error: 1. Based on reaction stoichiometry. If the reaction these metabolites participate have true bigg ids, and the reaction stoichiometry in the model matches the stoiciometry in BiGG, that is evidence that the metabolites are different. 2. In this case, a web search of the metabolite id (after trimming the compartment, that is _c) in metanetx identified a unique metanetx id for both metabolites. Since all other annotations are identical, including the formula and the name, discriminating based on those fields would have failed.",0
tag16018111Z18111Z_c,duplicate_metabolite,high,duplicates:inchikey,identical InChIKey as ['tag18111Z18111Z160_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",inchikey=NJWLXJXDVKOEOP-LJHRAKOHSA-N,FP,see curator_note for tag16018111Z18111Z_c,0
tag1601819Z18111Z_c,duplicate_metabolite,high,duplicates:metanetx.chemical,same MetaNetX id as ['tag18111Z1819Z160_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM728754,FP,see curator_note for tag16018111Z18111Z_c,0
tag1601819Z18111Z_c,duplicate_metabolite,high,duplicates:inchikey,identical InChIKey as ['tag18111Z1819Z160_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",inchikey=QJRAIXUZRUZYSD-SHXCIMIZSA-N,FP,see curator_note for tag16018111Z18111Z_c,0
tag1601819Z1819Z_c,duplicate_metabolite,high,duplicates:metanetx.chemical,same MetaNetX id as ['tag1819Z1819Z160_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM728552,FP,see curator_note for tag16018111Z18111Z_c,0
tag1601819Z1819Z_c,duplicate_metabolite,high,duplicates:inchikey,identical InChIKey as ['tag1819Z1819Z160_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",inchikey=JFISYPWOVQNHLS-HMOYFKASSA-N,FP,see curator_note for tag16018111Z18111Z_c,0
tag1801819Z1819Z_c,duplicate_metabolite,high,duplicates:inchikey,identical InChIKey as ['tag1819Z1819Z180_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",inchikey=RYNHWWNZNIGDAQ-WNMJAFDRSA-N,FP,see curator_note for tag16018111Z18111Z_c,0
tag1801819Z1819Z_c,duplicate_metabolite,high,duplicates:metanetx.chemical,same MetaNetX id as ['tag1819Z1819Z180_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM730413,FP,see curator_note for tag16018111Z18111Z_c,0
tag18111Z18111Z160_c,duplicate_metabolite,high,duplicates:inchikey,identical InChIKey as ['tag16018111Z18111Z_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",inchikey=NJWLXJXDVKOEOP-LJHRAKOHSA-N,FP,see curator_note for tag16018111Z18111Z_c,0
tag18111Z18111Z160_c,duplicate_metabolite,high,duplicates:metanetx.chemical,same MetaNetX id as ['tag16018111Z18111Z_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM728748,FP,see curator_note for tag16018111Z18111Z_c,0
tag18111Z18111Z1819Z_c,duplicate_metabolite,high,duplicates:inchikey,identical InChIKey as ['tag1819Z18111Z18111Z_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",inchikey=MIZFXTLHUPLNGP-OGZJHMPXSA-N,FP,see curator_note for tag16018111Z18111Z_c,0
tag18111Z18111Z1819Z_c,duplicate_metabolite,high,duplicates:metanetx.chemical,same MetaNetX id as ['tag1819Z18111Z18111Z_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM728162,FP,see curator_note for tag16018111Z18111Z_c,0
tag18111Z1819Z160_c,duplicate_metabolite,high,duplicates:inchikey,identical InChIKey as ['tag1601819Z18111Z_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",inchikey=QJRAIXUZRUZYSD-SHXCIMIZSA-N,FP,see curator_note for tag16018111Z18111Z_c,0
tag18111Z1819Z160_c,duplicate_metabolite,high,duplicates:metanetx.chemical,same MetaNetX id as ['tag1601819Z18111Z_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM728754,FP,see curator_note for tag16018111Z18111Z_c,0
tag18111Z1819Z1819Z_c,duplicate_metabolite,high,duplicates:metanetx.chemical,same MetaNetX id as ['tag1819Z1819Z18111Z_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM728168,FP,see curator_note for tag16018111Z18111Z_c,0
tag18111Z1819Z1819Z_c,duplicate_metabolite,high,duplicates:inchikey,identical InChIKey as ['tag1819Z1819Z18111Z_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",inchikey=JOURDTSYZKYHFB-VPQNIYBTSA-N,FP,see curator_note for tag16018111Z18111Z_c,0
tag1819Z18111Z18111Z_c,duplicate_metabolite,high,duplicates:inchikey,identical InChIKey as ['tag18111Z18111Z1819Z_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",inchikey=MIZFXTLHUPLNGP-OGZJHMPXSA-N,FP,see curator_note for tag16018111Z18111Z_c,0
tag1819Z18111Z18111Z_c,duplicate_metabolite,high,duplicates:metanetx.chemical,same MetaNetX id as ['tag18111Z18111Z1819Z_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM728162,FP,see curator_note for tag16018111Z18111Z_c,0
tag1819Z1819Z160_c,duplicate_metabolite,high,duplicates:inchikey,identical InChIKey as ['tag1601819Z1819Z_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",inchikey=JFISYPWOVQNHLS-HMOYFKASSA-N,FP,see curator_note for tag16018111Z18111Z_c,0
tag1819Z1819Z160_c,duplicate_metabolite,high,duplicates:metanetx.chemical,same MetaNetX id as ['tag1601819Z1819Z_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM728552,FP,see curator_note for tag16018111Z18111Z_c,0
tag1819Z1819Z180_c,duplicate_metabolite,high,duplicates:inchikey,identical InChIKey as ['tag1801819Z1819Z_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",inchikey=RYNHWWNZNIGDAQ-WNMJAFDRSA-N,FP,see curator_note for tag16018111Z18111Z_c,0
tag1819Z1819Z180_c,duplicate_metabolite,high,duplicates:metanetx.chemical,same MetaNetX id as ['tag1801819Z1819Z_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM730413,FP,see curator_note for tag16018111Z18111Z_c,0
tag1819Z1819Z18111Z_c,duplicate_metabolite,high,duplicates:metanetx.chemical,same MetaNetX id as ['tag18111Z1819Z1819Z_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",metanetx.chemical=MNXM728168,FP,see curator_note for tag16018111Z18111Z_c,0
tag1819Z1819Z18111Z_c,duplicate_metabolite,high,duplicates:inchikey,identical InChIKey as ['tag18111Z1819Z1819Z_c'] in compartment c,"merge the species and redirect the reactions, or re-annotate if they are genuinely distinct",inchikey=JOURDTSYZKYHFB-VPQNIYBTSA-N,FP,see curator_note for tag16018111Z18111Z_c,0
ficytc_m,mass_imbalance_localised,high,balance_localisation,"all 5 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'C': 9, 'H': 20, 'N': 4, 'O': 2, 'S': 2, 'charge': -2}, which localises the error to this metabolite","formula -> C33H32FeN4O4, charge -> 3","delta={'C': 9, 'H': 20, 'N': 4, 'O': 2, 'S': 2, 'charge': -2}; current=C42H52FeN8O6S2/1",TP,Applying this fix would have collapsed with the fix for metabolite focytc_m. Since the mass imbalance is the same but opposite directions. Applying the fix for both metabolites would have resulted in the same mass imbalance for the next review round. This error should have trigger a flag and a note for a reaction_reviewer agent.,0
focytc_m,mass_imbalance_localised,high,balance_localisation,"all 5 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'C': -9, 'H': -20, 'N': -4, 'O': -2, 'S': -2, 'charge': 2}, which localises the error to this metabolite","formula -> C42H52FeN8O6S2, charge -> 0","delta={'C': -9, 'H': -20, 'N': -4, 'O': -2, 'S': -2, 'charge': 2}; current=C33H32FeN4O4/2",TP,Applying this fix would have collapsed with the fix for metabolite ficytc_m. Since the mass imbalance is the same but opposite directions. Applying the fix for both metabolites would have resulted in the same mass imbalance for the next review round. This error should have trigger a flag and a note for a reaction_reviewer agent.,0
malcoa_c,mass_imbalance_localised,high,balance_localisation,"all 4 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': -1, 'charge': -1}, which localises the error to this metabolite","formula -> C24H34N7O19P3S, charge -> -4","delta={'H': -1, 'charge': -1}; current=C24H33N7O19P3S/-5",TP,"When dealing with charges and formula changes you are expected to prioritize information available in databases. If you have multiple database annotations for the metabolite, try to access those APIs if available. Sometimes a metabolite can have multiple charges. You are expected to reconcile that information and determine which charges are appropiate for the metabolite. For this metabolite, by searching the chebi identifiers we determined that the metabolite can have a charge of 0 or -5, but not -4, suggesting that the imbalance is in either the reaction or another metabolite. This error should have raised a note and a flag for a reaction_reviewer agent.",0
selcyst_c,mass_imbalance_localised,high,balance_localisation,"all 4 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': -1, 'charge': -1}, which localises the error to this metabolite","formula -> C7H15N2O4Se, charge -> 1","delta={'H': -1, 'charge': -1}; current=C7H14N2O4Se/0",TP,Same as curator_note for malcoa_c. Database searched determined that this metabolite can only hold a charge of 0.,0
selcyst_h,mass_imbalance_localised,high,balance_localisation,"all 4 balanceable reactions of this metabolite are imbalanced by exactly its stoichiometric coefficient times {'H': -1, 'charge': -1}, which localises the error to this metabolite","formula -> C7H15N2O4Se, charge -> 1","delta={'H': -1, 'charge': -1}; current=C7H14N2O4Se/0",TP,Same as curator_note for malcoa_c. Database searched determined that this metabolite can only hold a charge of 0.,0
2oglut_h,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,TP,,1
2oglut_m,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,TP,,1
2oglutm_h,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,TP,,1
Asn_X_Ser_FSLASH_Thr_c,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,TP,,1
apop_h,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,TP,,1
hmcit_L_m,missing_metanetx_id,high,metanetx_ids,no metanetx.chemical annotation; identifier cannot be validated,"map from InChIKey, then name, then formula+charge",,TP,,1
